Subject,Lambda,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials
A01,0.75,0.597864768683274,0.5871706369774887,0.7272727272727273,30.05695343017578,218,55,281
A01,0.875,0.597864768683274,0.5898188843285429,0.7272727272727273,25.704622268676758,218,55,281
A01,1.0,0.604982206405694,0.5890743461201681,0.7272727272727273,27.086734771728516,218,55,281
A02,0.75,0.303886925795053,0.30161398256382405,0.42592592592592593,29.788732528686523,216,54,283
A02,0.875,0.31095406360424027,0.2960724398497246,0.4074074074074074,26.633739471435547,216,54,283
A02,1.0,0.35335689045936397,0.3465437799389377,0.4444444444444444,26.154756546020508,216,54,283
A03,0.75,0.6886446886446886,0.6755069174576627,0.8703703703703703,27.379512786865234,216,54,273
A03,0.875,0.6776556776556777,0.6475521059487624,0.8148148148148148,25.492191314697266,216,54,273
A03,1.0,0.6886446886446886,0.6705209065830042,0.8148148148148148,36.26132011413574,216,54,273
A04,0.75,0.41228070175438597,0.4056147965706103,0.41509433962264153,28.317928314208984,209,53,228
A04,0.875,0.44298245614035087,0.4345854499274311,0.4528301886792453,32.23848342895508,209,53,228
A04,1.0,0.42543859649122806,0.4174527998352659,0.41509433962264153,21.619796752929688,209,53,228
A05,0.75,0.33695652173913043,0.30832403340773273,0.4339622641509434,25.36153793334961,209,53,276
A05,0.875,0.32971014492753625,0.25900536679306657,0.41509433962264153,26.964902877807617,209,53,276
A05,1.0,0.36594202898550726,0.3420109733870915,0.41509433962264153,26.080846786499023,209,53,276
A06,0.75,0.4511627906976744,0.44570560162728834,0.5454545454545454,20.242691040039062,175,44,215
A06,0.875,0.4511627906976744,0.44147101058416044,0.5909090909090909,23.500919342041016,175,44,215
A06,1.0,0.4372093023255814,0.42638914951463636,0.5909090909090909,20.10345458984375,175,44,215
A07,0.75,0.516245487364621,0.5157769163170829,0.5454545454545454,25.414466857910156,216,55,277
A07,0.875,0.5270758122743683,0.526916454793473,0.5454545454545454,25.728940963745117,216,55,277
A07,1.0,0.51985559566787,0.5192989536088699,0.5818181818181818,25.94923973083496,216,55,277
A08,0.75,0.6568265682656826,0.6539070250524224,0.6981132075471698,26.100635528564453,211,53,271
A08,0.875,0.6494464944649446,0.6517018695590124,0.7169811320754716,24.95265007019043,211,53,271
A08,1.0,0.6531365313653137,0.6424232208051595,0.6981132075471698,24.230480194091797,211,53,271
A09,0.75,0.6401515151515151,0.6429866543547238,0.875,26.204586029052734,189,48,264
A09,0.875,0.6515151515151515,0.6532008322347655,0.875,25.427579879760742,189,48,264
A09,1.0,0.6477272727272727,0.6497702417057256,0.875,28.230667114257812,189,48,264
