Subject,Condition,EEG_Channel_Index,Band,EOG_Left_Beta,EOG_Central_Beta,EOG_Right_Beta,Intercept
A01,All_Clean,0,4-38Hz,0.2566107743033949,0.3947169456215723,0.2488861208644042,0.007749766856524302
A01,All_Clean,1,4-38Hz,0.37019135728139096,0.2664096286111576,0.15285097836464057,0.0012626527219816337
A01,All_Clean,2,4-38Hz,0.3139939997307312,0.28880556124246387,0.21141250153060748,0.0037946915059776957
A01,All_Clean,3,4-38Hz,0.2751772569134962,0.3000555434481385,0.2668785637873282,8.954292902548987e-05
A01,All_Clean,4,4-38Hz,0.22515510963671595,0.2882330987997733,0.3174904334980129,0.004169738351610317
A01,All_Clean,5,4-38Hz,0.17931701735229527,0.26769633649395796,0.3825375554595311,0.0032102311297155578
A01,All_Clean,6,4-38Hz,0.36022665980820723,0.13067720662517315,0.06636218186463419,0.005828700193830939
A01,All_Clean,7,4-38Hz,0.3088634017654276,0.17924153115351515,0.13410738286428908,-0.0016130990639446233
A01,All_Clean,8,4-38Hz,0.2767375910214411,0.21493931619103424,0.1978667053898823,-0.0026759170427560056
A01,All_Clean,9,4-38Hz,0.25776286176387736,0.22314744612759851,0.2632338280043954,-0.008098817722999346
A01,All_Clean,10,4-38Hz,0.19988651750642616,0.2203025834038395,0.31005648039097417,-0.002498123624469996
A01,All_Clean,11,4-38Hz,0.14863180998556197,0.1836449253502468,0.3707553231845653,-0.0037171977314503077
A01,All_Clean,12,4-38Hz,0.0992741074081437,0.14019964836734417,0.4530095086264942,0.0025779392228342723
A01,All_Clean,13,4-38Hz,0.22414285896660074,0.13091305124583122,0.11802854623931411,-0.00226823680533644
A01,All_Clean,14,4-38Hz,0.21316569371445535,0.15640826037748926,0.18558233643079688,-0.006156561818397054
A01,All_Clean,15,4-38Hz,0.1984443615841523,0.16021884707482334,0.23343764850310503,-0.013161163714475533
A01,All_Clean,16,4-38Hz,0.15921312786990233,0.15367708911627664,0.3019713076917117,-0.006798223212458839
A01,All_Clean,17,4-38Hz,0.11320439648066946,0.1315413437140172,0.35035919686019634,-0.0019981004044114735
A01,All_Clean,18,4-38Hz,0.14517400016277668,0.10447526593568424,0.1646202704817129,-0.006875308647004164
A01,All_Clean,19,4-38Hz,0.1407066058557449,0.11244104250116285,0.21959031854426048,-0.010211650130878821
A01,All_Clean,20,4-38Hz,0.10912885919863338,0.10648643334804625,0.25576489802010516,-0.0041484491869172736
A01,All_Clean,21,4-38Hz,0.07705391537945765,0.08124095089450015,0.18257737588757725,-0.004440310125031439
A01,Theta_Clean,0,4.0-8.0Hz,0.47619706759049274,0.3155348432904866,0.3762588749414485,0.005183649583080066
