Condition,EOG_Metric,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All_Clean,Central_Theta_R2,0.18952149226770099,0.6252804428521113,0.26666666666666666,0.4879222748387009
All_Clean,Central_Alpha_Mu_R2,-0.06211603373849928,0.8738644231122055,-0.03333333333333333,0.932156735540504
All_Clean,Central_Beta_R2,-0.20502765606534545,0.5966771172238895,-0.38333333333333336,0.30849527238037144
All_Clean,Central_Gamma_R2,-0.3316885268305448,0.38321313609134616,-0.35,0.35581957250178897
All_Clean,Central_Overall_EOG_R2,-0.21262246036514593,0.5828372500159494,-0.31666666666666665,0.4063970144863861
Theta_Clean,Central_Theta_R2,0.2393059220450843,0.5351598637289149,0.13333333333333333,0.7323675052362975
Theta_Clean,Central_Alpha_Mu_R2,-0.005984639650499252,0.9878085560956525,0.15,0.7000942309691419
Theta_Clean,Central_Beta_R2,-0.3698388193858838,0.3272507160854763,-0.45,0.22421610749233659
Theta_Clean,Central_Gamma_R2,-0.4247006173959692,0.2545285552029826,-0.3666666666666667,0.33173980143301507
Theta_Clean,Central_Overall_EOG_R2,-0.29417555311628074,0.4422633239157086,-0.39999999999999997,0.2861051019083129
Alpha_Mu_Clean,Central_Theta_R2,-0.1686365940612721,0.6644940146756704,0.0,1.0
Alpha_Mu_Clean,Central_Alpha_Mu_R2,-0.28540649189926903,0.4566096753614603,0.0,1.0
Alpha_Mu_Clean,Central_Beta_R2,-0.6850058094206765,0.041739215528165674,-0.7666666666666667,0.01594401657897401
Alpha_Mu_Clean,Central_Gamma_R2,-0.7909793081922479,0.011129679507001049,-0.7666666666666667,0.01594401657897401
Alpha_Mu_Clean,Central_Overall_EOG_R2,-0.6817154634699083,0.04312958375557545,-0.5833333333333334,0.09918581647988323
Beta_Clean,Central_Theta_R2,-0.1185296832611939,0.7613424977894379,-0.016666666666666666,0.9660548039946861
Beta_Clean,Central_Alpha_Mu_R2,0.07048442853049139,0.8570034409642215,0.2333333333333333,0.5456987782182727
Beta_Clean,Central_Beta_R2,0.005819004203846602,0.988145956472629,-0.09999999999999999,0.797971695234851
Beta_Clean,Central_Gamma_R2,-0.18989991794264266,0.6245770234221684,-0.16666666666666669,0.668231040071504
Beta_Clean,Central_Overall_EOG_R2,-0.08155472985492564,0.8347761803681357,-0.18333333333333335,0.6368198117628943
Gamma_Clean,Central_Theta_R2,-0.3168620043078334,0.40609151358484774,-0.4184137043778615,0.2623814171891539
Gamma_Clean,Central_Alpha_Mu_R2,-0.172369499858686,0.6574301184767405,-0.3849406080276326,0.30629853528662443
Gamma_Clean,Central_Beta_R2,-0.3211763638015959,0.3993708807826522,-0.5523060897787773,0.12307662993423849
Gamma_Clean,Central_Gamma_R2,-0.41162717188805853,0.2709999761342794,-0.5941474602165634,0.09158336570110645
Gamma_Clean,Central_Overall_EOG_R2,-0.3750900860446788,0.31988624996881654,-0.6945667492672501,0.037864053843451616
