Subject,Band,Channel,R2,R2_percent
A01,Delta,C5,0.5051772732830923,50.51772732830923
A01,Delta,C3,0.43284069716996243,43.28406971699624
A01,Delta,C1,0.38640220091846744,38.64022009184674
A01,Delta,Cz,0.35083738795597064,35.083738795597064
A01,Delta,C2,0.4063308112657401,40.63308112657401
A01,Delta,C4,0.4555967424153463,45.55967424153463
A01,Delta,C6,0.5871390967397094,58.713909673970946
A01,Theta,C5,0.14039652407180214,14.039652407180213
A01,Theta,C3,0.11356138771653634,11.356138771653635
A01,Theta,C1,0.10999649735889527,10.999649735889527
A01,Theta,Cz,0.10396579647080517,10.396579647080518
A01,Theta,C2,0.13400542205156152,13.400542205156151
A01,Theta,C4,0.15758785599818936,15.758785599818935
A01,Theta,C6,0.25306162994992554,25.306162994992555
A01,Alpha_Mu,C5,0.16458337133768286,16.458337133768286
A01,Alpha_Mu,C3,0.1770005436932981,17.70005436932981
A01,Alpha_Mu,C1,0.2504686360715045,25.04686360715045
A01,Alpha_Mu,Cz,0.28465205554287243,28.465205554287245
A01,Alpha_Mu,C2,0.2899671290274092,28.996712902740917
A01,Alpha_Mu,C4,0.2508048713107063,25.080487131070626
A01,Alpha_Mu,C6,0.294123538783013,29.4123538783013
A01,Beta,C5,0.1939424495239952,19.394244952399518
A01,Beta,C3,0.20144209725746387,20.144209725746386
A01,Beta,C1,0.21626793678093603,21.626793678093602
A01,Beta,Cz,0.2215799256987867,22.157992569878672
A01,Beta,C2,0.22950415293328474,22.950415293328476
A01,Beta,C4,0.2244586154856324,22.44586154856324
A01,Beta,C6,0.24597160655403394,24.597160655403393
A01,Gamma,C5,0.22585552887524796,22.585552887524795
A01,Gamma,C3,0.25746557795697833,25.746557795697832
A01,Gamma,C1,0.2637308136866896,26.37308136866896
A01,Gamma,Cz,0.25146567673604125,25.146567673604125
A01,Gamma,C2,0.24482761994567603,24.482761994567603
A01,Gamma,C4,0.22827507098752864,22.827507098752864
A01,Gamma,C6,0.20491406163428283,20.491406163428284
A02,Delta,C5,0.6070702584635628,60.707025846356274
A02,Delta,C3,0.5001262075843342,50.01262075843342
A02,Delta,C1,0.45163974684896024,45.163974684896026
A02,Delta,Cz,0.4031037149356389,40.31037149356389
A02,Delta,C2,0.4667972305138106,46.67972305138106
A02,Delta,C4,0.5147847142857058,51.478471428570586
A02,Delta,C6,0.6112904620882338,61.12904620882338
A02,Theta,C5,0.32748751549523725,32.748751549523725
A02,Theta,C3,0.26389424596762856,26.389424596762858
A02,Theta,C1,0.24523794152587086,24.523794152587087
A02,Theta,Cz,0.22418449309476074,22.418449309476074
A02,Theta,C2,0.27393611837556275,27.393611837556275
A02,Theta,C4,0.32129535529525766,32.12953552952577
A02,Theta,C6,0.4129227302446278,41.29227302446278
A02,Alpha_Mu,C5,0.6056053412203297,60.56053412203297
A02,Alpha_Mu,C3,0.65770678607314,65.77067860731401
A02,Alpha_Mu,C1,0.6975616147886603,69.75616147886603
A02,Alpha_Mu,Cz,0.7102620639445472,71.02620639445472
A02,Alpha_Mu,C2,0.7361394855194177,73.61394855194176
A02,Alpha_Mu,C4,0.7453133763868838,74.53133763868837
A02,Alpha_Mu,C6,0.7699218653816022,76.99218653816023
A02,Beta,C5,0.5645920335698282,56.459203356982826
A02,Beta,C3,0.5736658541027446,57.36658541027446
A02,Beta,C1,0.5603768615774355,56.03768615774355
A02,Beta,Cz,0.5221626163341682,52.21626163341681
A02,Beta,C2,0.5533046215209145,55.33046215209146
A02,Beta,C4,0.550917871886731,55.0917871886731
A02,Beta,C6,0.5664989758372456,56.64989758372456
A02,Gamma,C5,0.614513384888254,61.4513384888254
A02,Gamma,C3,0.715247841691204,71.52478416912041
A02,Gamma,C1,0.7109365343429344,71.09365343429343
A02,Gamma,Cz,0.697267828647987,69.7267828647987
A02,Gamma,C2,0.7151632527263795,71.51632527263794
A02,Gamma,C4,0.7193507077179327,71.93507077179328
A02,Gamma,C6,0.6482909262550411,64.82909262550412
A03,Delta,C5,0.6212649963334383,62.12649963334383
A03,Delta,C3,0.5610647566625828,56.106475666258284
A03,Delta,C1,0.5238973400901094,52.38973400901094
A03,Delta,Cz,0.4912598957915857,49.12598957915857
A03,Delta,C2,0.5302533413880417,53.02533413880417
A03,Delta,C4,0.5763205063343484,57.63205063343484
A03,Delta,C6,0.6345230749784172,63.45230749784172
