Permutation,Is_Observed,Balanced_Accuracy,Responder_Assignment
1,False,0.475,A01+A02+A03+A04
2,False,0.65,A01+A02+A03+A05
3,False,0.9,A01+A02+A03+A06
4,False,0.225,A01+A02+A03+A07
5,False,0.575,A01+A02+A03+A08
6,False,0.1,A01+A02+A03+A09
7,False,0.35,A01+A02+A04+A05
8,False,0.475,A01+A02+A04+A06
9,False,0.125,A01+A02+A04+A07
10,False,0.45,A01+A02+A04+A08
11,False,0.35,A01+A02+A04+A09
12,False,0.0,A01+A02+A05+A06
13,False,0.45,A01+A02+A05+A07
14,False,0.675,A01+A02+A05+A08
15,False,0.425,A01+A02+A05+A09
16,False,0.25,A01+A02+A06+A07
17,False,0.9,A01+A02+A06+A08
18,False,0.0,A01+A02+A06+A09
19,False,0.225,A01+A02+A07+A08
20,False,0.775,A01+A02+A07+A09
21,False,0.35,A01+A02+A08+A09
22,False,0.125,A01+A03+A04+A05
23,False,0.9,A01+A03+A04+A06
24,False,0.125,A01+A03+A04+A07
25,False,0.775,A01+A03+A04+A08
26,False,0.125,A01+A03+A04+A09
27,False,0.325,A01+A03+A05+A06
28,False,0.2,A01+A03+A05+A07
29,False,0.55,A01+A03+A05+A08
30,False,0.4,A01+A03+A05+A09
31,False,0.675,A01+A03+A06+A07
32,False,0.9,A01+A03+A06+A08
33,False,0.325,A01+A03+A06+A09
34,False,0.45,A01+A03+A07+A08
35,False,0.2,A01+A03+A07+A09
36,False,0.35,A01+A03+A08+A09
37,False,0.475,A01+A04+A05+A06
38,False,0.675,A01+A04+A05+A07
39,False,0.0,A01+A04+A05+A08
40,False,0.45,A01+A04+A05+A09
41,False,0.575,A01+A04+A06+A07
42,False,0.55,A01+A04+A06+A08
43,False,0.8,A01+A04+A06+A09
44,False,0.0,A01+A04+A07+A08
45,False,0.575,A01+A04+A07+A09
46,False,0.35,A01+A04+A08+A09
47,False,0.575,A01+A05+A06+A07
48,False,0.25,A01+A05+A06+A08
49,False,0.55,A01+A05+A06+A09
50,False,0.2,A01+A05+A07+A08
51,False,0.45,A01+A05+A07+A09
52,False,0.325,A01+A05+A08+A09
53,False,0.775,A01+A06+A07+A08
54,False,0.8,A01+A06+A07+A09
55,False,0.45,A01+A06+A08+A09
56,False,0.3,A01+A07+A08+A09
57,False,0.45,A02+A03+A04+A05
58,False,0.45,A02+A03+A04+A06
59,False,0.1,A02+A03+A04+A07
60,False,0.875,A02+A03+A04+A08
61,False,0.1,A02+A03+A04+A09
62,False,0.425,A02+A03+A05+A06
63,False,0.65,A02+A03+A05+A07
64,False,0.875,A02+A03+A05+A08
65,False,0.2,A02+A03+A05+A09
66,False,0.325,A02+A03+A06+A07
67,False,0.65,A02+A03+A06+A08
68,False,0.525,A02+A03+A06+A09
69,False,0.875,A02+A03+A07+A08
70,False,0.325,A02+A03+A07+A09
71,False,0.875,A02+A03+A08+A09
72,False,0.0,A02+A04+A05+A06
73,False,0.775,A02+A04+A05+A07
74,False,0.55,A02+A04+A05+A08
75,False,0.65,A02+A04+A05+A09
76,False,0.1,A02+A04+A06+A07
77,False,0.425,A02+A04+A06+A08
78,False,0.225,A02+A04+A06+A09
79,False,0.125,A02+A04+A07+A08
80,False,0.675,A02+A04+A07+A09
81,False,0.425,A02+A04+A08+A09
82,False,0.525,A02+A05+A06+A07
83,False,0.55,A02+A05+A06+A08
84,False,0.55,A02+A05+A06+A09
85,False,0.425,A02+A05+A07+A08
86,False,0.9,A02+A05+A07+A09
87,False,0.425,A02+A05+A08+A09
88,False,0.45,A02+A06+A07+A08
89,False,0.65,A02+A06+A07+A09
90,False,0.3,A02+A06+A08+A09
91,False,0.525,A02+A07+A08+A09
92,False,0.125,A03+A04+A05+A06
93,False,0.2,A03+A04+A05+A07
94,False,0.2,A03+A04+A05+A08
95,False,0.55,A03+A04+A05+A09
96,False,0.55,A03+A04+A06+A07
97,False,0.9,A03+A04+A06+A08
98,False,0.325,A03+A04+A06+A09
99,False,0.2,A03+A04+A07+A08
100,False,0.55,A03+A04+A07+A09
101,False,0.325,A03+A04+A08+A09
102,False,0.4,A03+A05+A06+A07
103,False,0.425,A03+A05+A06+A08
104,False,0.4,A03+A05+A06+A09
105,False,0.525,A03+A05+A07+A08
106,False,0.3,A03+A05+A07+A09
107,False,0.4,A03+A05+A08+A09
108,False,0.55,A03+A06+A07+A08
109,False,0.3,A03+A06+A07+A09
110,False,0.45,A03+A06+A08+A09
111,False,0.2,A03+A07+A08+A09
112,False,0.425,A04+A05+A06+A07
113,False,0.125,A04+A05+A06+A08
114,False,0.425,A04+A05+A06+A09
115,False,0.45,A04+A05+A07+A08
116,True,1.0,A04+A05+A07+A09
117,False,0.425,A04+A05+A08+A09
118,False,0.225,A04+A06+A07+A08
119,False,0.9,A04+A06+A07+A09
120,False,0.55,A04+A06+A08+A09
121,False,0.325,A04+A07+A08+A09
122,False,0.525,A05+A06+A07+A08
123,False,0.425,A05+A06+A07+A09
124,False,0.625,A05+A06+A08+A09
125,False,0.425,A05+A07+A08+A09
126,False,0.325,A06+A07+A08+A09
