Subject,Band,N_Trials,Baseline_Mean_R2,Baseline_Median_R2,MI_Mean_R2,MI_Median_R2,Mean_Change_R2,Median_Change_R2,Std_Change_R2,Positive_Trials,Negative_Trials
A01,Theta,281,0.34436368814103896,0.3400186404846855,0.2972084100545052,0.29142738380405564,-0.04715527808653374,-0.05576276962279869,0.20405596629767067,111,170
A01,Alpha_Mu,281,0.3764070574242463,0.3641751628828785,0.40599334430027906,0.40871853789809887,0.029586286876032736,0.033338836467119104,0.17613858325138604,162,119
A01,Beta,281,0.32720754809503894,0.3090194640336893,0.37430877095786597,0.3657832672040717,0.047101222862827065,0.048029271382644956,0.12135885413721026,183,98
A01,Gamma,281,0.4093597160372986,0.3902978306771687,0.47608262772017923,0.5046011091981148,0.06672291168288057,0.058575986469385666,0.15006546946175733,181,100
A02,Theta,283,0.4473557464759172,0.4545990232601748,0.39045086485874425,0.39142809835602105,-0.056904881617172984,-0.05588459420951414,0.205458963684442,117,166
A02,Alpha_Mu,283,0.7083095093890377,0.7256336489772769,0.7206824841298484,0.7272676606355569,0.012372974740810627,0.013282273822567414,0.14921678861547316,150,133
A02,Beta,283,0.6793475696014291,0.7290440816324454,0.7164219698961773,0.7786176693271322,0.03707440029474833,0.02799277835209324,0.08702501471214096,192,91
A02,Gamma,283,0.7667066330099639,0.8472306480582696,0.8265754840149121,0.8900003593082765,0.059868851004948154,0.03588697079324066,0.09999556758940138,218,65
A03,Theta,273,0.34716981381797185,0.3331267410037596,0.316555708764161,0.30887435403014113,-0.030614105053810865,-0.018538326549020684,0.1827586517235897,117,156
A03,Alpha_Mu,273,0.2869023047535206,0.2802395919059793,0.33518039447812187,0.33110417604762526,0.04827808972460128,0.045810055354222584,0.16075343169920395,172,101
A03,Beta,273,0.6012370802812828,0.6405987032614698,0.665448827665661,0.7053019973173825,0.06421174738437833,0.0554595342503571,0.09377223158816188,204,69
A03,Gamma,273,0.7076954531268612,0.7671551436963483,0.7299080831545685,0.7785951206531424,0.022212630027707375,0.012725372034848803,0.10196580980826557,153,120
A04,Theta,228,0.39011217883970073,0.3862918545384485,0.3255800384554095,0.32546565052107024,-0.06453214038429117,-0.0684661142712446,0.1998387679478297,84,144
A04,Alpha_Mu,228,0.3522947239646424,0.35591150458277,0.3938119720865336,0.3979973687330514,0.04151724812189115,0.04554430890319067,0.20179464342582723,140,88
A04,Beta,228,0.26272103229324767,0.25291939741514835,0.3118595123317986,0.3128439777314726,0.04913848003855088,0.044364374449667926,0.11752439807274087,149,79
