Metric,Value
C3_Mu_MI_Raw,101.4847084566659
C3_Mu_MI_Clean,97.2126738611683
C3_Mu_MI_Delta,-4.272034595497587
Cz_Mu_MI_Raw,115.99546601494838
Cz_Mu_MI_Clean,113.23057421060753
Cz_Mu_MI_Delta,-2.764891804340855
C4_Mu_MI_Raw,94.83896519555807
C4_Mu_MI_Clean,92.66818242961888
C4_Mu_MI_Delta,-2.1707827659391787
C3_Beta_MI_Raw,7.2020478879024035
C3_Beta_MI_Clean,4.442762480910751
C3_Beta_MI_Delta,-2.759285406991652
Cz_Beta_MI_Raw,5.95391841625238
Cz_Beta_MI_Clean,1.0064106336703504
Cz_Beta_MI_Delta,-4.94750778258203
C4_Beta_MI_Raw,9.04483921152849
C4_Beta_MI_Clean,5.7289164997228
C4_Beta_MI_Delta,-3.3159227118056918
Mean_Delta_Accuracy,-0.0032875006072293645
Mean_Delta_F1,0.0032620383911810638
