Feature_A,Feature_B,Outcome,Interaction_Coefficient,Interaction_SE,Interaction_p,Model_R2,Model_Adjusted_R2,Interaction_p_Holm
EOG_Gamma_R2,Delta_Theta_R2,Delta_Accuracy,-0.007784558609440214,0.01656729106780755,0.6582237422825185,0.17851711353361333,-0.31437261834621877,1.0
EOG_Gamma_R2,Delta_Theta_R2,Delta_F1,-0.014595638650022435,0.020202295369454754,0.5023703921154978,0.15987433486045077,-0.3442010642232789,1.0
EOG_Gamma_R2,Delta_Alpha_Mu_R2,Delta_Accuracy,0.01704219715050489,0.010399147397574535,0.162178811579504,0.5704375216387174,0.31270003462194784,1.0
EOG_Gamma_R2,Delta_Alpha_Mu_R2,Delta_F1,0.009673635901027655,0.012591841763783593,0.4770376687716372,0.5668316767433845,0.30693068278941515,1.0
EOG_Gamma_R2,Gamma_Relative_Power,Delta_Accuracy,0.0052815002678694946,0.019104999243189293,0.7932686546989671,0.1437966370943825,-0.36992538064898817,1.0
EOG_Gamma_R2,Gamma_Relative_Power,Delta_F1,0.004430397905251623,0.024064821137766354,0.8611666304183836,0.06568040001759923,-0.4949113599718413,1.0
Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_Accuracy,0.002137221820888721,0.011099112733864323,0.8548820255269217,0.610401162298733,0.3766418596779727,1.0
Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_F1,0.012083591451382325,0.01111172069952627,0.326451887656547,0.7314339793609972,0.5702943669775955,1.0
Delta_Theta_R2,Gamma_Relative_Power,Delta_Accuracy,0.004512946925753475,0.015227815894148327,0.7788687572989287,0.07618081192713755,-0.4781107009165799,1.0
Delta_Theta_R2,Gamma_Relative_Power,Delta_F1,0.0008451581807060166,0.01869425232243787,0.9656903512234007,0.04241960169628245,-0.5321286372859482,1.0
Delta_Alpha_Mu_R2,Gamma_Relative_Power,Delta_Accuracy,0.017175837624173393,0.019774620885217063,0.42479730114361397,0.442793113036101,0.10846898085776158,1.0
Delta_Alpha_Mu_R2,Gamma_Relative_Power,Delta_F1,0.005292802363177704,0.02051007855907472,0.8066468454811723,0.5877296568512399,0.34036745096198384,1.0
