Feature_Set,N_Features,Outcome,R2,Adjusted_R2,AIC,BIC,Max_Individual_p
EOG_Gamma_R2,1,Delta_Accuracy,0.12408352768703401,-0.0010473969291038276,-35.65888349438326,-35.264434339710824,0.35251359449626807
EOG_Gamma_R2,1,Delta_F1,0.05771313561578961,-0.0768992735819547,-31.63290957440661,-31.23846041973417,0.5335265493160245
Delta_Theta_R2,1,Delta_Accuracy,6.310066691728178e-05,-0.1427850278092373,-34.467090523808054,-34.07264136913562,0.9838182965048612
Delta_Theta_R2,1,Delta_F1,0.0377422465744659,-0.09972314677203897,-31.44415622330598,-31.04970706863354,0.6164662737287447
Delta_Alpha_Mu_R2,1,Delta_Accuracy,0.32275005288424197,0.22600006043913368,-37.97395648482046,-37.579507330148026,0.11051902859929093
Delta_Alpha_Mu_R2,1,Delta_F1,0.5121918691985285,0.4425049933697469,-37.55839798531447,-37.163948830642035,0.030152294303996862
Gamma_Relative_Power,1,Delta_Accuracy,0.02690030063672344,-0.1121139421294588,-34.711941224802274,-34.31749207012984,0.6732749039070292
Gamma_Relative_Power,1,Delta_F1,0.03435735261954054,-0.10359159700623932,-31.412552851176642,-31.018103696504202,0.6330379237080122
EOG_Gamma_R2+Delta_Theta_R2,2,Delta_Accuracy,0.14224327655111924,-0.14367563126517435,-33.84743542911312,-33.25576169710446,0.7337324633336741
EOG_Gamma_R2+Delta_Theta_R2,2,Delta_F1,0.07217041169208671,-0.23710611774388424,-29.772064627175993,-29.180390895167335,0.7701161080458663
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,Delta_Accuracy,0.3397032866750652,0.11960438223342029,-36.20211641396706,-35.6104426819584,0.7082575613556468
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,Delta_F1,0.5157002813077404,0.35426704174365387,-35.62336165389553,-35.03168792188687,0.8417479999935006
EOG_Gamma_R2+Gamma_Relative_Power,2,Delta_Accuracy,0.1307100172225818,-0.1590533103698908,-33.727229210444264,-33.135555478435606,0.8377365200169345
EOG_Gamma_R2+Gamma_Relative_Power,2,Delta_F1,0.05934687274439443,-0.2542041696741406,-29.648527318904527,-29.05685358689587,0.9220172084524739
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,Delta_Accuracy,0.6075120107544919,0.4766826810059892,-40.88376668577385,-40.29209295376519,0.0820023888159309
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,Delta_F1,0.6679139787980839,0.5572186383974452,-39.01915105263306,-38.427477320624405,0.14448416125016225
Delta_Theta_R2+Gamma_Relative_Power,2,Delta_Accuracy,0.05995291684447501,-0.25339611087403324,-33.02295044846976,-32.4312767164611,0.6621835984187763
Delta_Theta_R2+Gamma_Relative_Power,2,Delta_F1,0.04202816184129066,-0.2772957842116124,-29.484331941485294,-28.892658209476636,0.8752364878440154
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,Delta_Accuracy,0.35871828443248654,0.1449577125766488,-36.4651004225972,-35.873426690588545,0.5829532700939194
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,Delta_F1,0.5822386903067133,0.4429849204089511,-36.95350521103683,-36.36183147902817,0.3545759056963403
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,Delta_Accuracy,0.6391804723395065,0.4226887557432103,-39.64091892116413,-38.85202061181925,0.5369923435758184
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,Delta_F1,0.668515601663807,0.4696249626620911,-37.03547066880549,-36.24657235946061,0.9278074704527489
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,Delta_Accuracy,0.1425563704829692,-0.3719098072272493,-31.85072116236647,-31.06182285302159,0.9675716501144325
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,Delta_F1,0.07586426192651197,-0.478617180917581,-27.807966699122602,-27.019068389777722,0.8930970861211757
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_Accuracy,0.436488871157387,0.09838219385181912,-35.628636365673515,-34.839738056328635,0.44398956817211443
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_F1,0.5925733018960575,0.34811728303369194,-35.17894805996758,-34.3900497506227,0.7362777543490656
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_Accuracy,0.6242553019032743,0.39880848304523875,-39.27613084562003,-38.48723253627515,0.6567951836821895
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,Delta_F1,0.6708404937654531,0.47334479002472485,-37.098815278956366,-36.309916969611486,0.8413340877245993
