Feature,Outcome,Threshold,N_Low,N_High,Mean_Benefit_Low,Mean_Benefit_High,High_Minus_Low
EOG_Gamma_R2,Delta_Accuracy,23.48535344570415,2,7,0.02121622360792036,-0.010288564668700715,-0.03150478827662107
EOG_Gamma_R2,Delta_Accuracy,32.35968019134276,3,6,0.005372219247385512,-0.007617360534536803,-0.012989579781922316
EOG_Gamma_R2,Delta_Accuracy,38.60534294194139,4,5,0.004029164435539134,-0.009140832641444163,-0.013169997076983297
EOG_Gamma_R2,Delta_Accuracy,47.69461331310055,5,4,-0.001758874857262649,-0.0051982827946877586,-0.0034394079374251096
EOG_Gamma_R2,Delta_Accuracy,62.36123896042922,6,3,0.002157459358078225,-0.014177420537844543,-0.016334879895922767
EOG_Gamma_R2,Delta_Accuracy,74.34955008395386,7,2,0.0013259646407808143,-0.01943462897526499,-0.020760593616045802
EOG_Gamma_R2,Delta_F1,23.48535344570415,2,7,0.025316271077876484,-0.0030391709478747703,-0.028355442025751253
EOG_Gamma_R2,Delta_F1,32.35968019134276,3,6,0.007716806784738517,0.0010346541944023374,-0.0066821525903361795
EOG_Gamma_R2,Delta_F1,38.60534294194139,4,5,0.006402736999741684,0.0007494795043325675,-0.005653257495409117
EOG_Gamma_R2,Delta_F1,47.69461331310055,5,4,-0.00046066610172085243,0.00791541900730846,0.008376085109029312
EOG_Gamma_R2,Delta_F1,62.36123896042922,6,3,0.01003373764387587,-0.010281360114208549,-0.02031509775808442
EOG_Gamma_R2,Delta_F1,74.34955008395386,7,2,0.008376158085446074,-0.01463738053874647,-0.023013538624192545
Delta_Theta_R2,Delta_Accuracy,-0.06983589319656525,2,7,0.0013998682476943358,-0.004626748851493279,-0.0060266170991876145
Delta_Theta_R2,Delta_Accuracy,-0.060718511000732,3,6,-0.007838684326098503,-0.0010119087477947948,0.006826775578303708
Delta_Theta_R2,Delta_Accuracy,-0.05555895992051115,4,5,-0.015596327732206372,0.006559561092752242,0.022155888824958614
Delta_Theta_R2,Delta_Accuracy,-0.05080747028434445,5,4,-0.00020269395471816942,-0.007143508922868358,-0.0069408149681501885
Delta_Theta_R2,Delta_Accuracy,-0.0472785902156866,6,3,-0.00016891162893180786,-0.009524678563824477,-0.009355766934892668
Delta_Theta_R2,Delta_Accuracy,-0.041110983654165045,7,2,-0.0037035002574372328,-0.001831501831501825,0.0018719984259354078
Delta_Theta_R2,Delta_F1,-0.06983589319656525,2,7,0.02361737937399637,-0.0025537733181947376,-0.026171152692191106
Delta_Theta_R2,Delta_F1,-0.060718511000732,3,6,0.006584212315485107,0.0016009514290290423,-0.004983260886456065
Delta_Theta_R2,Delta_F1,-0.05555895992051115,4,5,-0.0018324338556709521,0.0073376161886626766,0.00917005004433363
Delta_Theta_R2,Delta_F1,-0.05080747028434445,5,4,0.01171476087138718,-0.007303864709076582,-0.019018625580463765
Delta_Theta_R2,Delta_F1,-0.0472785902156866,6,3,0.009396902608097016,-0.00900769004265084,-0.018404592650747856
Delta_Theta_R2,Delta_F1,-0.041110983654165045,7,2,0.0040667338772872996,0.00044560418980924,-0.0036211296874780596
Delta_Alpha_Mu_R2,Delta_Accuracy,-0.01929494509486605,2,7,0.04155548579500862,-0.016099782436440217,-0.057655268231448835
Delta_Alpha_Mu_R2,Delta_Accuracy,0.0038418890421094503,3,6,0.021390525883541105,-0.0156265138526146,-0.03701703973615571
Delta_Alpha_Mu_R2,Delta_Accuracy,0.02097963080842165,4,5,0.0063255799250233335,-0.010977965033031523,-0.017303544958054855
Delta_Alpha_Mu_R2,Delta_Accuracy,0.0355517674989619,5,4,7.82575343247105e-05,-0.007494698284171958,-0.007572955818496668
Delta_Alpha_Mu_R2,Delta_Accuracy,0.04489766892324615,6,3,-0.004320750300343438,-0.0012210012210012167,0.0030997490793422218
Delta_Alpha_Mu_R2,Delta_Accuracy,0.0483176458218801,7,2,-0.004226786495009183,0.0,0.004226786495009183
Delta_Alpha_Mu_R2,Delta_F1,-0.01929494509486605,2,7,0.0642046480757396,-0.014150135804407089,-0.07835478388014669
Delta_Alpha_Mu_R2,Delta_F1,0.0038418890421094503,3,6,0.03771276617587082,-0.013963325501163812,-0.05167609167703463
Delta_Alpha_Mu_R2,Delta_F1,0.02097963080842165,4,5,0.02151398153961833,-0.01133951612756875,-0.03285349766718708
Delta_Alpha_Mu_R2,Delta_F1,0.0355517674989619,5,4,0.011628329530180465,-0.007195825532568187,-0.018824155062748652
Delta_Alpha_Mu_R2,Delta_F1,0.04489766892324615,6,3,0.005109920974894151,-0.00043372677624510986,-0.005543647751139261
Delta_Alpha_Mu_R2,Delta_F1,0.0483176458218801,7,2,0.004155743797747457,0.0001340694681986887,-0.004021674329548768
Gamma_Relative_Power,Delta_Accuracy,3.8462130824503253,2,7,0.02121622360792036,-0.010288564668700715,-0.03150478827662107
Gamma_Relative_Power,Delta_Accuracy,4.741782220728709,3,6,0.021390525883541105,-0.0156265138526146,-0.03701703973615571
Gamma_Relative_Power,Delta_Accuracy,5.28496628236027,4,5,0.009463947044234783,-0.013488658728400682,-0.022952605772635463
Gamma_Relative_Power,Delta_Accuracy,5.723119218379826,5,4,0.0025889512296938698,-0.010633065403383407,-0.013222016633077278
Gamma_Relative_Power,Delta_Accuracy,5.8020398772359085,6,3,0.002157459358078225,-0.014177420537844543,-0.016334879895922767
Gamma_Relative_Power,Delta_Accuracy,5.97099499720441,7,2,0.0018492508783527642,-0.021266130806766814,-0.02311538168511958
Gamma_Relative_Power,Delta_F1,3.8462130824503253,2,7,0.025316271077876484,-0.0030391709478747703,-0.028355442025751253
Gamma_Relative_Power,Delta_F1,4.741782220728709,3,6,0.03771276617587082,-0.013963325501163812,-0.05167609167703463
Gamma_Relative_Power,Delta_F1,5.28496628236027,4,5,0.02141404418151876,-0.011259566241089092,-0.03267361042260785
Gamma_Relative_Power,Delta_F1,5.723119218379826,5,4,0.011548379643700807,-0.007095888174468615,-0.01864426781816942
Gamma_Relative_Power,Delta_F1,5.8020398772359085,6,3,0.01003373764387587,-0.010281360114208549,-0.02031509775808442
Gamma_Relative_Power,Delta_F1,5.97099499720441,7,2,0.008287148164985917,-0.014325845817135918,-0.022612993982121833
