Metric,Value
Mean_AllChannel_Class_R2_Change,0.012174583926232016
Mean_Motor_Class_R2_Change,0.017065610456281688
Subjects_AllChannel_R2_Improved,6.0
Subjects_Motor_R2_Improved,7.0
Class_R2_Change_vs_Accuracy_Pearson_r,-0.012589293174779165
Class_R2_Change_vs_Accuracy_Pearson_p,0.9743566895958261
Class_R2_Change_vs_Accuracy_Spearman_rho,-0.06694619270045785
Class_R2_Change_vs_Accuracy_Spearman_p,0.8641266713551774
Motor_R2_Change_vs_Accuracy_Pearson_r,0.001600633106621516
Motor_R2_Change_vs_Accuracy_Pearson_p,0.9967392239730946
Motor_R2_Change_vs_Accuracy_Spearman_rho,-0.11715583722580122
Motor_R2_Change_vs_Accuracy_Spearman_p,0.7640451166486228
