Subject,Window,Start_s,End_s,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A01,Early_0_1s,0.0,1.0,0.02864134422620557,0.01853909114024941,-0.01010225308595616,-0.02491103202846978,-0.027914278507571
A01,Middle_1_2s,1.0,2.0,0.009851364877530756,0.00947091426548106,-0.0003804506120496966,-0.02491103202846978,-0.027914278507571
A01,Late_2_4s,2.0,4.0,0.04331264641117645,0.08575988338514978,0.04244723697397333,-0.02491103202846978,-0.027914278507571
A02,Early_0_1s,0.0,1.0,0.01466389283427241,0.014704776296680449,4.088346240803918e-05,-0.03886925795052998,-0.02708237236913913
A02,Middle_1_2s,1.0,2.0,0.007814435926137562,0.010800657220516624,0.0029862212943790618,-0.03886925795052998,-0.02708237236913913
A02,Late_2_4s,2.0,4.0,0.017515172915677286,0.015673767333309364,-0.001841405582367922,-0.03886925795052998,-0.02708237236913913
A03,Early_0_1s,0.0,1.0,0.015728419608709247,0.03170344155060876,0.015975021941899512,-0.00366300366300365,-0.001569319265132707
A03,Middle_1_2s,1.0,2.0,0.004332678410036042,0.016139138741946564,0.011806460331910521,-0.00366300366300365,-0.001569319265132707
A03,Late_2_4s,2.0,4.0,0.1178624183155532,0.3262195263767195,0.2083571080611663,-0.00366300366300365,-0.001569319265132707
A04,Early_0_1s,0.0,1.0,0.007494240523163755,0.0057909046176709165,-0.001703335905492838,-0.02631578947368418,-0.027482121801537418
A04,Middle_1_2s,1.0,2.0,0.01680647575935376,0.012112534441653998,-0.004693941317699764,-0.02631578947368418,-0.027482121801537418
A04,Late_2_4s,2.0,4.0,0.1551683459096619,0.17462533033938943,0.019456984429727542,-0.02631578947368418,-0.027482121801537418
A05,Early_0_1s,0.0,1.0,0.003928730392656258,0.00038040344251457514,-0.0035483269501416833,0.021739130434782594,0.06250575637185948
A05,Middle_1_2s,1.0,2.0,0.015470225434670448,0.012731404231410982,-0.0027388212032594655,0.021739130434782594,0.06250575637185948
A05,Late_2_4s,2.0,4.0,0.024233545578454026,0.016673669079802337,-0.0075598764986516895,0.021739130434782594,0.06250575637185948
A06,Early_0_1s,0.0,1.0,0.009789598104776673,0.012199528540819037,0.002409930436042363,0.0,0.002460527644751187
A06,Middle_1_2s,1.0,2.0,0.004467570699551126,0.003923242341592509,-0.0005443283579586169,0.0,0.002460527644751187
A06,Late_2_4s,2.0,4.0,0.04913233171665925,0.05340728795951127,0.00427495624285202,0.0,0.002460527644751187
A07,Early_0_1s,0.0,1.0,0.014711956966574671,0.00854842594987916,-0.006163531016695511,0.06137184115523464,0.06590353977961971
A07,Middle_1_2s,1.0,2.0,0.04377913788853072,0.05552843727062632,0.011749299382095603,0.06137184115523464,0.06590353977961971
A07,Late_2_4s,2.0,4.0,0.02317334027587795,0.033987675896925654,0.010814335621047704,0.06137184115523464,0.06590353977961971
A08,Early_0_1s,0.0,1.0,0.012842839580475144,0.018853544554107263,0.00601070497363212,0.0,-0.0021923887083538096
A08,Middle_1_2s,1.0,2.0,0.001905206069488323,0.004871354127743576,0.0029661480582552527,0.0,-0.0021923887083538096
A08,Late_2_4s,2.0,4.0,0.12422942780604808,0.28021928069108254,0.15598985288503447,0.0,-0.0021923887083538096
A09,Early_0_1s,0.0,1.0,0.018160435920715937,0.02152161249162562,0.0033611765709096846,-0.018939393939393923,-0.015270997623866744
A09,Middle_1_2s,1.0,2.0,0.04040592593544028,0.048091020380188663,0.0076850944447483804,-0.018939393939393923,-0.015270997623866744
A09,Late_2_4s,2.0,4.0,0.33897615455263924,0.34141114889862784,0.0024349943459885948,-0.018939393939393923,-0.015270997623866744
