Subject,Band,Low_Hz,High_Hz,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A01,Theta,4.0,8.0,11.049215315204258,9.421181988632673,-1.6280333265715843,-14.734379592832545,0.26749719866061966,0.2977784440777727,0.030281245417153047,11.320210293331563,-0.02491103202846978,-0.027914278507571
A01,Alpha_Mu,8.0,13.0,10.823399944265253,8.610838148113151,-2.2125617961521016,-20.442391554831353,0.2641074353251692,0.2697689196832987,0.005661484358129465,2.1436292966000905,-0.02491103202846978,-0.027914278507571
A01,Beta,13.0,30.0,15.207714149132403,10.874289467767305,-4.3334246813650985,-28.49491145658021,0.3738310380058363,0.34534261464448673,-0.028488423361349546,-7.620668287287794,-0.02491103202846978,-0.027914278507571
A01,Gamma,30.0,38.0,3.7799502463424206,2.28982388797131,-1.4901263583711106,-39.421851115976885,0.09321735676296027,0.07401434895157985,-0.019203007811380415,-20.600249222053346,-0.02491103202846978,-0.027914278507571
A02,Theta,4.0,8.0,12.198061922118962,8.460501871624782,-3.7375600504941797,-30.64060564995818,0.17425115506340177,0.2490060039367628,0.07475484887336104,42.90063319589547,-0.03886925795052998,-0.02708237236913913
A02,Alpha_Mu,8.0,13.0,16.830783797954062,7.464895036132306,-9.365888761821756,-55.64737135391322,0.24311542552456838,0.21964538188733243,-0.023470043637235954,-9.653868563294496,-0.03886925795052998,-0.02708237236913913
A02,Beta,13.0,30.0,61.57801876745327,19.887293838364496,-41.69072492908877,-67.70390760139911,0.9009979543045581,0.5890455147052339,-0.31195243959932417,-34.6229908857126,-0.03886925795052998,-0.02708237236913913
A02,Gamma,30.0,38.0,24.644973151078712,6.6318703324787425,-18.013102818599968,-73.09037306787057,0.3611958359429169,0.1970294984647259,-0.16416633747819098,-45.45078352014438,-0.03886925795052998,-0.02708237236913913
A03,Theta,4.0,8.0,12.165632137680568,10.063549428562803,-2.1020827091177647,-17.278861347508542,0.18610711748191644,0.24775128340173103,0.061644165919814586,33.12294916705934,-0.00366300366300365,-0.001569319265132707
A03,Alpha_Mu,8.0,13.0,25.017191387143118,22.701340323392305,-2.315851063750813,-9.257038601627277,0.3717846150433334,0.5045761838137777,0.1327915687704443,35.717338318307434,-0.00366300366300365,-0.001569319265132707
A03,Beta,13.0,30.0,24.333656723772382,9.713647763592569,-14.620008960179813,-60.08143012018833,0.37223641112311634,0.23584865792279375,-0.1363877532003226,-36.64008923490633,-0.00366300366300365,-0.001569319265132707
A03,Gamma,30.0,38.0,7.652467502675416,2.407401922121885,-5.245065580553531,-68.54084096038015,0.11732726252519156,0.0595978782239019,-0.05772938430128966,-49.20372559522939,-0.00366300366300365,-0.001569319265132707
A04,Theta,4.0,8.0,11.69813859808055,9.959250884163339,-1.7388877139172116,-14.864653032940907,0.32857821181315394,0.34169544282820163,0.013117231015047692,3.992118327829603,-0.02631578947368418,-0.027482121801537418
A04,Alpha_Mu,8.0,13.0,9.755860019910724,8.349463055360062,-1.4063969645506624,-14.41591988487277,0.2687938015156754,0.2695795120115983,0.0007857104959229089,0.2923097524914793,-0.02631578947368418,-0.027482121801537418
