EEG_Channel,Raw_EOG_Coupling,Clean_EOG_Coupling,Coupling_Change,Coupling_Change_Percent
Fz,0.6590211203252416,0.27145579714892276,-0.3875653231763188,-60.31982881879529
FC4,0.6173144413965885,0.253402560487573,-0.3639118809090156,-61.04470855122807
FC2,0.5939421743955055,0.23429658268658388,-0.3596455917089216,-62.6338908871343
FCz,0.5790492615885987,0.22213434680859584,-0.3569149147800028,-63.65206206407811
FC1,0.5741104128679388,0.22525520347636296,-0.3488552093915758,-63.31561728398982
FC3,0.5800103592445722,0.23626114430180264,-0.3437492149427696,-62.45659453652469
C2,0.5320683065131753,0.2067841805853078,-0.32528412592786754,-64.44748847722552
C6,0.5590902303571388,0.24210406341811355,-0.31698616693902526,-59.96755914521124
Cz,0.5143035756869067,0.1986740651495561,-0.3156295105373506,-64.94520071118679
C4,0.5312472054366549,0.21716770571074798,-0.31407949972590693,-62.67187145393714
C1,0.5073443353352659,0.20203613875115523,-0.3053081965841107,-64.75735274907937
C3,0.4850998410018266,0.20446672805566776,-0.2806331129461589,-64.33382622796384
C5,0.5023735715351711,0.22268880768681637,-0.27968476384835483,-62.81467188373009
CP2,0.46337697464699495,0.18746070001952514,-0.2759162746274698,-65.35479575262181
CP4,0.46336690258439617,0.19365798438435713,-0.26970891820003906,-63.50933567774294
CPz,0.44583202306411873,0.18090977769042613,-0.26492224537369263,-65.98653245897299
CP1,0.43388160645387513,0.18074838080865374,-0.2531332256452214,-66.15552782084438
P2,0.3945642791328534,0.17379851631708154,-0.22076576281577187,-64.64390209549948
Pz,0.3866107507303898,0.16959235573403583,-0.21701839499635403,-65.54666515267161
CP3,0.3992736984191503,0.1849364560704024,-0.2143372423487479,-61.031918480078424
P1,0.3652369749973349,0.1749488978749431,-0.19028807712239176,-61.60932964743623
POz,0.3323233245897296,0.1652801010169382,-0.16704322357279133,-61.56012337547644
