Subject,EEG_Channel_Index,EEG_Channel,Raw_EOG_Coupling,Clean_EOG_Coupling,Coupling_Change,Coupling_Change_Percent,Delta_Accuracy,Delta_F1
A01,0,Fz,0.5405659208606023,0.17747801619927936,-0.3630879046613229,-67.16810857837146,-0.02491103202846978,-0.027914278507571
A01,1,FC3,0.4721454907799713,0.138078946140242,-0.3340665446397293,-70.75500055880245,-0.02491103202846978,-0.027914278507571
A01,2,FC1,0.4644257078270324,0.13956651793561184,-0.3248591898914206,-69.94858045463947,-0.02491103202846978,-0.027914278507571
A01,3,FCz,0.46453618369787697,0.1412526819598305,-0.32328350173804643,-69.59274930202254,-0.02491103202846978,-0.027914278507571
A01,4,FC2,0.4708206722694514,0.14292784422160387,-0.32789282804784753,-69.64282737785013,-0.02491103202846978,-0.027914278507571
A01,5,FC4,0.49527855087392214,0.1653805038416711,-0.329898047032251,-66.60858752113205,-0.02491103202846978,-0.027914278507571
A01,6,C5,0.40589108656427825,0.13744361710683214,-0.26844746945744613,-66.13780847708611,-0.02491103202846978,-0.027914278507571
A01,7,C3,0.3984732958267477,0.12668403690834124,-0.27178925891840644,-68.20764697782352,-0.02491103202846978,-0.027914278507571
A01,8,C1,0.4121068061839102,0.12917193856887124,-0.28293486761503894,-68.65571336591177,-0.02491103202846978,-0.027914278507571
A01,9,Cz,0.41146685077261536,0.12597648971761313,-0.28549036105500225,-69.38356286027275,-0.02491103202846978,-0.027914278507571
A01,10,C2,0.42801970937974426,0.13581473025748217,-0.29220497912226207,-68.26904759729517,-0.02491103202846978,-0.027914278507571
A01,11,C4,0.432657434634895,0.15136553464269056,-0.2812918999922044,-65.01492346469838,-0.02491103202846978,-0.027914278507571
A01,12,C6,0.468159249309478,0.18751396848505286,-0.28064528082442514,-59.94654195946555,-0.02491103202846978,-0.027914278507571
A01,13,CP3,0.3131261554577207,0.10731440517234773,-0.20581175028537296,-65.7280609422493,-0.02491103202846978,-0.027914278507571
A01,14,CP1,0.3461610630150611,0.1093924209799546,-0.2367686420351065,-68.39840390275349,-0.02491103202846978,-0.027914278507571
A01,15,CPz,0.36043326680487436,0.1204171898418716,-0.24001607696300276,-66.59098897575923,-0.02491103202846978,-0.027914278507571
A01,16,CP2,0.38005376859068196,0.12935939873321503,-0.25069436985746696,-65.9628690927322,-0.02491103202846978,-0.027914278507571
A01,17,CP4,0.3729754735153252,0.13472293371911417,-0.238252539796211,-63.87887588174653,-0.02491103202846978,-0.027914278507571
A01,18,P1,0.2897529339044301,0.11101129163678214,-0.17874164226764794,-61.68760393867237,-0.02491103202846978,-0.027914278507571
A01,19,Pz,0.31147488445890126,0.11305485825628377,-0.1984200262026175,-63.70337902117396,-0.02491103202846978,-0.027914278507571
A01,20,P2,0.32239834639437925,0.12479419302978512,-0.19760415336459414,-61.29192521442759,-0.02491103202846978,-0.027914278507571
A01,21,POz,0.25538555411049274,0.11005820537106743,-0.14532734873942532,-56.90507798908209,-0.02491103202846978,-0.027914278507571
A02,0,Fz,0.8665391741291687,0.5655483394690196,-0.3009908346601491,-34.73482141908135,-0.03886925795052998,-0.02708237236913913
A02,1,FC3,0.8555644232866891,0.6155976158504203,-0.23996680743626886,-28.04777768977649,-0.03886925795052998,-0.02708237236913913
A02,2,FC1,0.838149013491665,0.550466499121246,-0.28768251437041903,-34.32355222515333,-0.03886925795052998,-0.02708237236913913
A02,3,FCz,0.8282260291679417,0.5093221078857436,-0.31890392128219813,-38.50445531186428,-0.03886925795052998,-0.02708237236913913
A02,4,FC2,0.840214390651482,0.5476824831992138,-0.2925319074522682,-34.8163410085664,-0.03886925795052998,-0.02708237236913913
A02,5,FC4,0.8566359895293715,0.5849257850867521,-0.2717102044426194,-31.718280315527565,-0.03886925795052998,-0.02708237236913913
A02,6,C5,0.8475643115324522,0.7021032285488372,-0.14546108298361493,-17.162247277803814,-0.03886925795052998,-0.02708237236913913
A02,7,C3,0.8419249834359617,0.6413315275422312,-0.20059345589373045,-23.825573517855815,-0.03886925795052998,-0.02708237236913913
A02,8,C1,0.8294226167383411,0.5813758424327137,-0.24804677430562738,-29.90595738527817,-0.03886925795052998,-0.02708237236913913
