Analysis,CSV_Count,Files,Status
lambda075_signal_mechanism,10,band_change_summary_lambda075.csv | band_changes_vs_delta_accuracy_f1.csv | band_power_changes_lambda075.csv | channel_coupling_summary_lambda075.csv | channel_eog_coupling_changes_lambda075.csv | coupling_changes_vs_delta_accuracy_f1.csv | eog_channel_coupling_changes_lambda075.csv | lambda075_signal_mechanism_summary.csv | signal_changes_vs_delta_accuracy_f1.csv | subject_signal_changes_lambda075.csv,LOADED
lambda075_class_separability,8,band_class_r2_vs_eegnet_benefit.csv | band_class_separability_lambda075.csv | channel_class_separability_lambda075.csv | class_separability_mechanism_summary.csv | subject_class_separability_lambda075.csv | temporal_class_r2_vs_eegnet_benefit.csv | temporal_class_separability_lambda075.csv | trial_timing_diagnostic.csv,LOADED
lambda075_sensorimotor_erd_ers,8,class_specific_erd_ers_wilcoxon.csv | class_specific_sensorimotor_erd_ers_lambda075.csv | erd_ers_change_vs_accuracy.csv | erd_ers_change_vs_f1.csv | erd_ers_raw_vs_clean_wilcoxon.csv | motor_region_erd_ers_summary.csv | subject_class_band_erd_ers_lambda075.csv | subject_mechanistic_erd_ers_profile.csv,LOADED
temporal_beta_lambda075,9,channel_temporal_beta_change.csv | hand_vs_nonhand_temporal_beta_change.csv | motor_channel_temporal_beta_peaks.csv | subject_early_mi_beta_change.csv | subject_temporal_beta_peaks.csv | temporal_beta_change_lambda075.csv | temporal_beta_peak_permutation.csv | temporal_beta_performance_correlations.csv | temporal_beta_summary.csv,LOADED
normalized_beta_class_contrast,6,normalized_beta_channel_contrast_vs_f1.csv | normalized_beta_class_contrast_subjects.csv | normalized_beta_class_contrast_temporal.csv | normalized_beta_contrast_vs_eegnet.csv | normalized_beta_global_temporal_summary.csv | normalized_beta_motor_channel_summary.csv,LOADED
spatial_motor_lateralization,7,class_motor_lateralization_lambda075.csv | motor_lateralization_final_summary.csv | motor_lateralization_statistics.csv | subject_motor_lateralization_lambda075.csv | temporal_motor_lateralization_lambda075.csv | temporal_motor_lateralization_summary.csv | trial_level_motor_lateralization_lambda075.csv,LOADED
full_duration_erd_ers,11,full_duration_class_erd_ers.csv | full_duration_class_erd_ers_tests.csv | full_duration_erd_ers_final_summary.csv | full_duration_erd_ers_vs_accuracy.csv | full_duration_erd_ers_vs_f1.csv | full_duration_hand_lateralization.csv | full_duration_hand_lateralization_tests.csv | full_duration_motor_band_correlations.csv | full_duration_paired_erd_ers_tests.csv | full_duration_subject_erd_ers.csv | full_duration_temporal_erd_ers.csv,LOADED
eegnet_feature_space,6,eegnet_feature_space_final_summary.csv | embedding_dimension_summary.csv | feature_space_paired_statistics.csv | feature_space_vs_eegnet_benefit.csv | pairwise_feature_space_distances.csv | subject_eegnet_feature_space_results.csv,LOADED
common_eegnet_feature_space,6,common_network_confusion_changes.csv | common_network_confusion_summary.csv | common_network_feature_correlations.csv | common_network_pairwise_correlations.csv | common_network_pairwise_results.csv | common_network_subject_results.csv,LOADED
class_specific_compactness,8,class_compactness_paired_tests.csv | class_compactness_vs_global_f1.csv | class_specific_compactness.csv | class_specific_confusion_changes.csv | compactness_vs_class_accuracy.csv | compactness_vs_error_change.csv | subject_class_error_changes.csv | subject_compactness_summary.csv,LOADED
decision_margin_analysis,9,class_decision_margin_paired_tests.csv | class_decision_margin_results.csv | class_margin_vs_class_accuracy.csv | class_specific_error_change.csv | competitor_transitions.csv | decision_margin_final_summary.csv | margin_outcome_transitions.csv | subject_decision_margin_results.csv | trial_level_decision_margins.csv,LOADED
final_validation,4,final_leave_one_subject_out.csv | final_master_validation_table.csv | final_primary_statistics.csv | final_subject_level_results.csv,LOADED
