Analysis,N_Subjects,Mean_Delta_Accuracy,Mean_Delta_F1,Mean_EOG_R2_Change,Wilcoxon_p,Raw,Clean,Mean_Change,Adaptive
Final λ=.75 Validation,9,-0.0032875006072293446,0.0032620383911810564,,,,,,
Baseline_vs_MI_Theta,9,,,-0.0515254311908768,0.00390625,,,,
Baseline_vs_MI_Alpha_Mu,9,,,0.0205379374971172,0.12890625,,,,
Baseline_vs_MI_Beta,9,,,0.0413277702784971,0.00390625,,,,
Baseline_vs_MI_Gamma,9,,,0.0393215789566696,0.01953125,,,,
Cleaning_Accuracy_All_Clean,9,,,,0.07421875,0.5152463979849266,0.5439683980184871,0.0287220000335606,
Cleaning_Accuracy_Theta_Clean,9,,,,1.0,0.5152463979849266,0.5145401054858317,-0.0007062924990947,
Cleaning_Accuracy_Alpha_Mu_Clean,9,,,,0.42578125,0.5152463979849266,0.5300593131696362,0.0148129151847096,
Cleaning_Accuracy_Beta_Clean,9,,,,0.734375,0.5152463979849266,0.5231765133352531,0.0079301153503265,
Cleaning_Accuracy_Gamma_Clean,9,,,,0.8125,0.5152463979849266,0.5210025935322616,0.0057561955473351,
Cleaning_Macro_F1_All_Clean,9,,,,0.09765625,0.5012738703470117,0.5279355029715673,0.0266616326245556,
Cleaning_Macro_F1_Theta_Clean,9,,,,0.8203125,0.5012738703470117,0.4961588697811036,-0.0051150005659081,
Cleaning_Macro_F1_Alpha_Mu_Clean,9,,,,0.5703125,0.5012738703470117,0.5190946681144989,0.0178207977674871,
Cleaning_Macro_F1_Beta_Clean,9,,,,0.91015625,0.5012738703470117,0.5151628318084513,0.0138889614614396,
Cleaning_Macro_F1_Gamma_Clean,9,,,,0.8203125,0.5012738703470117,0.5078624895286136,0.0065886191816018,
Adaptive_Accuracy,9,,,,0.125,0.5152463979849266,,0.0234663750130627,0.5387127729979891
Adaptive_Macro_F1,9,,,,0.125,0.5012738703470117,,0.0245851967974118,0.5258590671444234
