Analysis,Requested_Stem,Resolved_File,Loaded,Rows,Columns
trial_eog_error,EEGNet_EOG_trial_analysis,EEGNet_EOG_trial_analysis.csv,True,2368.0,44.0
baseline_mi_trial,baseline_vs_mi_eog_trial_analysis,baseline_vs_mi_eog_trial_analysis.csv,True,2538.0,77.0
baseline_mi_band,baseline_vs_mi_eog_band_statistics,baseline_vs_mi_eog_band_statistics.csv,True,4.0,14.0
baseline_mi_subject_band,baseline_vs_mi_eog_subject_band_statistics,baseline_vs_mi_eog_subject_band_statistics.csv,True,36.0,13.0
baseline_mi_subject_overall,baseline_vs_mi_eog_subject_overall_statistics,baseline_vs_mi_eog_subject_overall_statistics.csv,True,9.0,12.0
baseline_mi_delta,baseline_mi_subject_band_delta_r2,baseline_mi_subject_band_delta_r2.csv,True,36.0,7.0
corrected_baseline_mi_statistics,corrected_baseline_mi_eog_r2_statistics,corrected_baseline_mi_eog_r2_statistics.csv,True,4.0,14.0
corrected_baseline_mi_subject_band,corrected_baseline_mi_eog_r2_subject_band,corrected_baseline_mi_eog_r2_subject_band.csv,True,36.0,12.0
corrected_baseline_mi_subject_band_percent,corrected_baseline_mi_eog_r2_subject_band_percent,corrected_baseline_mi_eog_r2_subject_band_percent.csv,True,36.0,16.0
corrected_baseline_mi_trial,corrected_baseline_mi_eog_r2_trial_level,corrected_baseline_mi_eog_r2_trial_level.csv,True,10368.0,9.0
eeg_spectral_cleaning,eeg_spectral_profile_vs_cleaning,eeg_spectral_profile_vs_cleaning.csv,True,54.0,22.0
eeg_spectral_cleaning_correlation,eeg_spectral_profile_vs_cleaning_correlation,eeg_spectral_profile_vs_cleaning_correlation.csv,True,20.0,7.0
channel_frequency_summary,channel_frequency_summary,channel_frequency_summary.csv,True,35.0,5.0
cleaning_conditions,eegnet_cleaning_raw_vs_condition_statistics,eegnet_cleaning_raw_vs_condition_statistics.csv,True,10.0,21.0
cleaning_statistical_tests,eegnet_cleaning_statistical_tests,eegnet_cleaning_statistical_tests.csv,True,5.0,13.0
cleaning_friedman,eegnet_cleaning_friedman_test,eegnet_cleaning_friedman_test.csv,True,2.0,4.0
cleaning_accuracy_improvements,eegnet_cleaning_accuracy_improvements,eegnet_cleaning_accuracy_improvements.csv,True,9.0,6.0
cleaning_f1_improvements,eegnet_cleaning_f1_improvements,eegnet_cleaning_f1_improvements.csv,True,9.0,6.0
cleaning_condition_ranking,eegnet_cleaning_condition_ranking,eegnet_cleaning_condition_ranking.csv,True,6.0,5.0
best_condition,eegnet_best_condition_per_subject,eegnet_best_condition_per_subject.csv,True,9.0,5.0
best_suppression,eegnet_best_suppression_per_subject,eegnet_best_suppression_per_subject.csv,True,9.0,5.0
allband_lambda,eegnet_allband_lambda_performance,eegnet_allband_lambda_performance.csv,True,45.0,9.0
allband_lambda_coefficients,eegnet_allband_lambda_coefficients,eegnet_allband_lambda_coefficients.csv,True,198.0,7.0
allband_lambda_predictions,eegnet_allband_lambda_predictions,eegnet_allband_lambda_predictions.csv,True,11840.0,9.0
allband_lambda_statistics,allband_lambda_vs_raw_statistics,allband_lambda_vs_raw_statistics.csv,True,4.0,17.0
focused_lambda_coefficients,eegnet_focused_lambda_coefficients,eegnet_focused_lambda_coefficients.csv,True,198.0,7.0
responder_harmed_statistics,cleaning_responder_vs_harmed_statistics,cleaning_responder_vs_harmed_statistics.csv,True,17.0,8.0
response_group_summary,cleaning_response_group_summary,cleaning_response_group_summary.csv,True,2.0,5.0
benefit_dominant_band,cleaning_benefit_by_dominant_eeg_band,cleaning_benefit_by_dominant_eeg_band.csv,True,20.0,8.0
benefit_feature_correlations,cleaning_benefit_vs_subject_features_correlations,cleaning_benefit_vs_subject_features_correlations.csv,True,17.0,10.0
delta_eog_optimal_lambda,delta_eog_vs_optimal_lambda_correlations,delta_eog_vs_optimal_lambda_correlations.csv,True,5.0,6.0
delta_r2_distribution,delta_r2_distribution_summary,delta_r2_distribution_summary.csv,True,4.0,14.0
adaptive_policy_statistics,adaptive_eog_cleaning_policy_statistics,adaptive_eog_cleaning_policy_statistics.csv,True,2.0,7.0
adaptive_policy_subject,adaptive_eog_cleaning_policy_subject_results,adaptive_eog_cleaning_policy_subject_results.csv,True,9.0,12.0
adaptive_policy_quality,adaptive_policy_decision_quality,adaptive_policy_decision_quality.csv,True,9.0,8.0
adaptive_vs_fixed,adaptive_vs_fixed_cleaning_conditions,adaptive_vs_fixed_cleaning_conditions.csv,True,5.0,9.0
binary_adaptive_subject,binary_adaptive_lambda_subject_results,binary_adaptive_lambda_subject_results.csv,True,9.0,20.0
binary_adaptive_summary,binary_adaptive_lambda_summary,binary_adaptive_lambda_summary.csv,True,19.0,2.0
lambda075_signal_mechanism,lambda075_signal_mechanism,lambda075_signal_mechanism,True,,
lambda075_class_separability,lambda075_class_separability,lambda075_class_separability,True,,
lambda075_sensorimotor_erd_ers,lambda075_sensorimotor_erd_ers,lambda075_sensorimotor_erd_ers,True,,
temporal_beta_lambda075,temporal_beta_lambda075,temporal_beta_lambda075,True,,
normalized_beta_class_contrast,normalized_beta_class_contrast,normalized_beta_class_contrast,True,,
spatial_motor_lateralization,spatial_motor_lateralization,spatial_motor_lateralization,True,,
full_duration_erd_ers,full_duration_erd_ers,full_duration_erd_ers,True,,
eegnet_feature_space,eegnet_feature_space,eegnet_feature_space,True,,
common_eegnet_feature_space,common_eegnet_feature_space,common_eegnet_feature_space,True,,
class_specific_compactness,class_specific_compactness,class_specific_compactness,True,,
decision_margin_analysis,decision_margin_analysis,decision_margin_analysis,True,,
final_validation,final_validation,final_validation,True,,
