Condition,EOG_Feature,Outcome,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
All_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.42784702847384554,0.25064603127371204,-0.3666666666666667,0.33173980143301507
All_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.6055371200632091,0.08397442256952346,-0.6833333333333333,0.04244227208707231
All_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.2129663470347144,0.5822133229500257,-0.26666666666666666,0.4879222748387009
All_Clean,Delta_Beta_R2,Accuracy_Improvement,9,-0.2326663769126077,0.5468805230258549,-0.2333333333333333,0.5456987782182727
All_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.3747680199776157,0.32033551133338495,-0.25,0.5164895523012263
All_Clean,Delta_Overall_R2,F1_Improvement,9,-0.4652057090336629,0.20700048004880983,-0.6166666666666666,0.07692880993776309
All_Clean,Delta_Theta_R2,F1_Improvement,9,-0.6980458924773996,0.03651398359511402,-0.9,0.0009430623223403293
All_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.27727070049715735,0.4700960634641451,-0.48333333333333334,0.18746985521554207
All_Clean,Delta_Beta_R2,F1_Improvement,9,-0.36345112976015165,0.336321168581344,-0.45,0.22421610749233659
All_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.2969146252099637,0.4378231767180009,-0.2833333333333333,0.46003032896571994
Theta_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.4248529906825193,0.25433980083857816,-0.39999999999999997,0.2861051019083129
Theta_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.46067237126920874,0.21205374748194283,-0.5666666666666667,0.11163298761149111
Theta_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.43627749504552277,0.24040046848562038,-0.5,0.17047066078705375
Theta_Clean,Delta_Beta_R2,Accuracy_Improvement,9,0.11060849786232907,0.7769548715789154,0.16666666666666669,0.668231040071504
Theta_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.3552935847684295,0.34808221632058617,-0.16666666666666669,0.668231040071504
Theta_Clean,Delta_Overall_R2,F1_Improvement,9,-0.5153804425843661,0.15559841379970765,-0.35,0.35581957250178897
Theta_Clean,Delta_Theta_R2,F1_Improvement,9,-0.5985607105352616,0.08858686123584529,-0.6,0.0876228290414024
Theta_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.5259828056245632,0.14580147643509891,-0.48333333333333334,0.18746985521554207
Theta_Clean,Delta_Beta_R2,F1_Improvement,9,-0.05148181291630969,0.8953534740463218,0.049999999999999996,0.8983528043506301
Theta_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.3380944355957189,0.3735202204498178,-0.049999999999999996,0.8983528043506301
Alpha_Mu_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.569274226239667,0.109626700642584,-0.39999999999999997,0.2861051019083129
Alpha_Mu_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.4874574342778863,0.18317796498897085,-0.5,0.17047066078705375
Alpha_Mu_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.5642649562072571,0.11350031261934547,-0.5333333333333333,0.13922686754397814
Alpha_Mu_Clean,Delta_Beta_R2,Accuracy_Improvement,9,-0.29995409939062584,0.43291919677120083,-0.08333333333333334,0.831214097710308
Alpha_Mu_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.3701859296825486,0.3267613443712321,-0.06666666666666667,0.8646897846262037
Alpha_Mu_Clean,Delta_Overall_R2,F1_Improvement,9,-0.6344358056679121,0.06646420765476528,-0.4666666666666666,0.20538635110581185
Alpha_Mu_Clean,Delta_Theta_R2,F1_Improvement,9,-0.6133020155297316,0.07901853077364454,-0.65,0.05807305801714863
Alpha_Mu_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.6535148787989858,0.05627620267582285,-0.5666666666666667,0.11163298761149111
Alpha_Mu_Clean,Delta_Beta_R2,F1_Improvement,9,-0.49889786086320836,0.17156642397537117,-0.3666666666666667,0.33173980143301507
Alpha_Mu_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.28621633704709865,0.4552764379478891,-0.06666666666666667,0.8646897846262037
Beta_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.7780648320008186,0.013542738056702606,-0.6833333333333333,0.04244227208707231
Beta_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.49699762730342933,0.17346510078397753,-0.38333333333333336,0.30849527238037144
Beta_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.7945157478937928,0.010523423722322905,-0.75,0.019942126131992522
Beta_Clean,Delta_Beta_R2,Accuracy_Improvement,9,0.009469481636475466,0.980710371904081,-0.016666666666666666,0.9660548039946861
Beta_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.7371459286911399,0.023442957965721475,-0.8499999999999999,0.0037047773275858133
Beta_Clean,Delta_Overall_R2,F1_Improvement,9,-0.848144338480116,0.003860318145683467,-0.7666666666666667,0.01594401657897401
Beta_Clean,Delta_Theta_R2,F1_Improvement,9,-0.6185044659838212,0.07580204725831863,-0.48333333333333334,0.18746985521554207
Beta_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.8906119582003991,0.0012788422518152463,-0.7999999999999999,0.00962792472537983
Beta_Clean,Delta_Beta_R2,F1_Improvement,9,-0.2446585061315135,0.5257825533417173,-0.15,0.7000942309691419
Beta_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.6364432243845995,0.06534172690501357,-0.8333333333333333,0.005265691029161748
Gamma_Clean,Delta_Overall_R2,Accuracy_Improvement,9,-0.5183671500861154,0.15280105610244293,-0.4769916229907622,0.19417917606506618
Gamma_Clean,Delta_Theta_R2,Accuracy_Improvement,9,-0.3772532427731209,0.31687697334950027,-0.1924703040138163,0.6198061390079386
Gamma_Clean,Delta_Alpha_Mu_R2,Accuracy_Improvement,9,-0.4676232838758527,0.2043332416469498,-0.510464719340991,0.16026666791460525
Gamma_Clean,Delta_Beta_R2,Accuracy_Improvement,9,0.3909310376499024,0.29818141188646025,0.5188329934285483,0.15236740186901965
Gamma_Clean,Delta_Gamma_R2,Accuracy_Improvement,9,-0.6919814216916051,0.038887917382458795,-0.4435185266405332,0.2317840652993742
Gamma_Clean,Delta_Overall_R2,F1_Improvement,9,-0.6025463723177652,0.08593314760864028,-0.6333333333333333,0.06708578689234565
Gamma_Clean,Delta_Theta_R2,F1_Improvement,9,-0.4805590180746495,0.19038865371263455,-0.39999999999999997,0.2861051019083129
Gamma_Clean,Delta_Alpha_Mu_R2,F1_Improvement,9,-0.5693106905055972,0.10959880004621987,-0.6666666666666667,0.04986723056888511
Gamma_Clean,Delta_Beta_R2,F1_Improvement,9,0.30664868183267324,0.4222046206952653,0.35,0.35581957250178897
Gamma_Clean,Delta_Gamma_R2,F1_Improvement,9,-0.6970931153352036,0.03688055163073292,-0.5666666666666667,0.11163298761149111
