Feature_Set,N_Features,Inner_Balanced_Accuracy,Held_Out_Subject
Gamma_Relative_Power,1,1.0,A01
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A01
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A01
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A01
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.875,A01
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.875,A01
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.875,A01
EOG_Gamma_R2,1,0.75,A01
Delta_Theta_R2,1,0.75,A01
Delta_Alpha_Mu_R2,1,0.75,A01
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.75,A01
EOG_Gamma_R2+Gamma_Relative_Power,2,0.75,A01
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.75,A01
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.75,A01
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A01
Gamma_Relative_Power,1,1.0,A02
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A02
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A02
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A02
Delta_Theta_R2,1,0.875,A02
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.875,A02
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.875,A02
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.875,A02
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.875,A02
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.875,A02
Delta_Alpha_Mu_R2,1,0.75,A02
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.75,A02
EOG_Gamma_R2+Gamma_Relative_Power,2,0.75,A02
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.75,A02
EOG_Gamma_R2,1,0.625,A02
Gamma_Relative_Power,1,1.0,A03
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A03
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A03
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A03
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,0.875,A03
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.875,A03
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,0.875,A03
Delta_Theta_R2,1,0.75,A03
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,0.75,A03
EOG_Gamma_R2+Gamma_Relative_Power,2,0.75,A03
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,0.75,A03
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,0.75,A03
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,0.75,A03
EOG_Gamma_R2,1,0.625,A03
Delta_Alpha_Mu_R2,1,0.625,A03
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A04
EOG_Gamma_R2+Delta_Alpha_Mu_R2,2,1.0,A04
Delta_Theta_R2+Delta_Alpha_Mu_R2,2,1.0,A04
Delta_Alpha_Mu_R2+Gamma_Relative_Power,2,1.0,A04
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2,3,1.0,A04
EOG_Gamma_R2+Delta_Theta_R2+Gamma_Relative_Power,3,1.0,A04
EOG_Gamma_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,1.0,A04
Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,3,1.0,A04
EOG_Gamma_R2+Delta_Theta_R2+Delta_Alpha_Mu_R2+Gamma_Relative_Power,4,1.0,A04
Gamma_Relative_Power,1,0.8333333333333333,A04
Delta_Theta_R2+Gamma_Relative_Power,2,0.8333333333333333,A04
Delta_Theta_R2,1,0.7333333333333334,A04
Delta_Alpha_Mu_R2,1,0.7333333333333334,A04
EOG_Gamma_R2,1,0.6333333333333333,A04
EOG_Gamma_R2+Gamma_Relative_Power,2,0.6333333333333333,A04
EOG_Gamma_R2+Delta_Theta_R2,2,1.0,A05
Delta_Theta_R2+Gamma_Relative_Power,2,1.0,A05
