Metric,Value
Action_Selection_Accuracy,0.3333333333333333
Mean_Raw_Accuracy,0.5152463979849266
Mean_All_Clean_Accuracy,0.5439683980184871
Mean_Adaptive_Accuracy,0.5350805605244663
Mean_Oracle_Accuracy,0.5632807426893783
Mean_Raw_F1,0.5012738703470117
Mean_All_Clean_F1,0.5279355029715673
Mean_Adaptive_F1,0.5176085728629198
Mean_Oracle_F1,0.5569397839077436
Adaptive_Accuracy_Improvement_vs_Raw,0.019834162539539846
Adaptive_F1_Improvement_vs_Raw,0.01633470251590813
Adaptive_vs_Raw_Accuracy_Wilcoxon_p,0.15625
Adaptive_vs_Raw_F1_Wilcoxon_p,0.296875
Adaptive_vs_All_Clean_Accuracy_Wilcoxon_p,0.1875
Adaptive_vs_All_Clean_F1_Wilcoxon_p,0.125
Mean_Accuracy_Regret,0.02820018216491204
Mean_F1_Regret,0.039331211044823844
