Subject,Channel,Band,Baseline_R2,MI_R2,Change_R2
A01,C1,Alpha_Mu,38.220547847485946,37.67396399471281,-0.5465838527731425
A01,C1,Beta,24.652358353069744,29.238501819806956,4.586143466737212
A01,C1,Delta,48.166054765379876,36.885398204105975,-11.280656561273902
A01,C1,Gamma,30.45176918256186,37.18678513153746,6.735015948975601
A01,C1,Theta,36.02276497057618,25.24065006048157,-10.782114910094613
A01,C2,Alpha_Mu,42.20205278484153,43.24713136957103,1.0450785847294974
A01,C2,Beta,25.997215287381707,30.987750316153818,4.990535028772115
A01,C2,Delta,48.50361573518426,38.428059633998245,-10.075556101186017
A01,C2,Gamma,29.106805666465544,34.483367248963845,5.3765615824983
A01,C2,Theta,38.20578196593702,28.04699982450608,-10.158782141430942
A01,C3,Alpha_Mu,31.132295722069802,28.437017230095798,-2.6952784919740065
A01,C3,Beta,23.054194573014065,27.031202618058597,3.97700804504453
A01,C3,Delta,49.11642193179076,36.82581461287991,-12.29060731891085
A01,C3,Gamma,30.566717183371924,36.726260897669064,6.159543714297145
A01,C3,Theta,34.882492126101916,24.67972686534052,-10.202765260761394
A01,C4,Alpha_Mu,38.454792450739305,38.844646977185235,0.38985452644593044
A01,C4,Beta,25.981066258460366,30.285153087525835,4.304086829065464
A01,C4,Delta,49.89743533308211,39.527369200872464,-10.370066132209649
A01,C4,Gamma,28.474897159892553,32.59979337541005,4.1248962155175
A01,C4,Theta,38.41006882921155,30.03010888927766,-8.379959939933897
A01,C5,Alpha_Mu,30.229507170712136,26.51320465093598,-3.7163025197761588
A01,C5,Beta,22.849879673791477,25.959318387982325,3.1094387141908473
A01,C5,Delta,50.74254263183198,37.63290018049439,-13.109642451337589
A01,C5,Gamma,30.090310229082807,34.47363613812276,4.383325909039948
A01,C5,Theta,35.353000923854246,25.628736062210496,-9.724264861643752
A01,C6,Alpha_Mu,43.68844637461966,44.34057247968325,0.6521261050635923
A01,C6,Beta,29.947206390031745,32.40779600488551,2.460589614853773
A01,C6,Delta,55.12206355330996,44.91379353297402,-10.208270020335934
A01,C6,Gamma,29.265994713831105,30.928036339489225,1.6620416256581176
A01,C6,Theta,44.19629671293597,39.110283677848116,-5.086013035087851
A01,Cz,Alpha_Mu,41.24866777812193,42.70174901174846,1.4530812336265295
A01,Cz,Beta,25.136840224910447,30.124919995873718,4.988079770963271
A01,Cz,Delta,46.500070589703704,36.460727142441776,-10.03934344726192
A01,Cz,Gamma,29.285603052933237,35.649667767755126,6.364064714821895
A01,Cz,Theta,36.121441685078224,24.828282186934583,-11.293159498143641
A02,C1,Alpha_Mu,68.66143184370645,72.93950774948945,4.278075905782986
A02,C1,Beta,31.665205631675153,37.882454917337164,6.217249285662012
A02,C1,Delta,50.51167555588865,31.6832398203275,-18.828435735561147
A02,C1,Gamma,33.21312023490711,48.043896899085055,14.83077666417794
A02,C1,Theta,44.775284134474724,36.21443095976315,-8.560853174711571
A02,C2,Alpha_Mu,72.45910778119635,76.88903183198174,4.429924050785382
A02,C2,Beta,32.562444478314134,38.91886368103287,6.356419202718731
A02,C2,Delta,51.5229949388162,33.84640085377199,-17.67659408504421
A02,C2,Gamma,35.433081811528325,48.89498306579371,13.461901254265387
A02,C2,Theta,47.526619876650706,39.94511068039962,-7.581509196251084
A02,C3,Alpha_Mu,63.71326571211185,67.46008446281147,3.746818750699615
A02,C3,Beta,31.82794755234231,35.345772529383666,3.5178249770413528
A02,C3,Delta,51.11677209207152,32.47254369524927,-18.644228396822246
A02,C3,Gamma,33.62236419233808,48.13614309305394,14.51377890071586
A02,C3,Theta,45.00488546718361,34.697539485519876,-10.307345981663735
A02,C4,Alpha_Mu,73.49628484242383,77.2832017855477,3.786916943123863
A02,C4,Beta,33.22783537199405,38.17800658699366,4.950171214999614
A02,C4,Delta,53.54436250107413,36.995172055762374,-16.549190445311755
A02,C4,Gamma,37.81627138563388,49.04394791673778,11.2276765311039
A02,C4,Theta,50.998172885829256,43.153271438491714,-7.844901447337542
A02,C5,Alpha_Mu,54.41125496126318,61.038197552690185,6.6269425914269995
A02,C5,Beta,31.06615490713907,32.540454523202186,1.4742996160631214
A02,C5,Delta,53.772912661172455,36.12300100548655,-17.649911655685898
A02,C5,Gamma,30.14739084260073,38.78710084546399,8.639710002863268
A02,C5,Theta,46.09758268027071,35.0379853633325,-11.059597316938214
A02,C6,Alpha_Mu,76.271230940986,80.08649154674114,3.8152606057551464
A02,C6,Beta,36.09407401155971,39.057830783945796,2.9637567723860823
A02,C6,Delta,58.41951191716099,43.507153864939276,-14.912358052221707
A02,C6,Gamma,36.18179970978667,40.98823543384577,4.80643572405911
A02,C6,Theta,57.79780160248156,50.994083839027475,-6.803717763454089
A02,Cz,Alpha_Mu,69.62693413036425,74.76205295099443,5.1351188206301845
A02,Cz,Beta,30.062052477147727,35.89114959954621,5.829097122398486
A02,Cz,Delta,49.04005304545075,31.274337925615473,-17.765715119835278
A02,Cz,Gamma,32.17374258319204,46.26350634122163,14.089763758029587
A02,Cz,Theta,44.00924266327178,35.78871573721319,-8.22052692605859
A03,C1,Alpha_Mu,21.801882295228076,31.79363667805886,9.991754382830786
A03,C1,Beta,65.50286211872704,74.1296696083664,8.62680748963935
A03,C1,Delta,66.76616133154866,37.27386441668319,-29.492296914865467
A03,C1,Gamma,78.0512161522675,85.34817734202396,7.296961189756469
A03,C1,Theta,34.46390486940189,32.75899397962026,-1.7049108897816247
A03,C2,Alpha_Mu,31.597049237132833,41.11875582322287,9.521706586090032
A03,C2,Beta,68.18868083689318,76.09992587317618,7.911245036282987
A03,C2,Delta,67.1655163316308,37.780480412671224,-29.385035918959577
A03,C2,Gamma,78.49897787500059,84.8720453814354,6.373067506434821
A03,C2,Theta,35.800702576275214,35.61587578026569,-0.184826796009521
A03,C3,Alpha_Mu,19.12433630287333,22.427218011499534,3.3028817086262032
A03,C3,Beta,61.867650466842406,71.71810528464255,9.85045481780015
A03,C3,Delta,67.68762913772626,38.82866370759224,-28.85896543013403
A03,C3,Gamma,77.73686751305918,84.66033110275214,6.923463589692947
A03,C3,Theta,34.65262250081611,31.620226296621425,-3.032396204194685
A03,C4,Alpha_Mu,34.591940690779786,39.68393276005269,5.091992069272903
A03,C4,Beta,68.26131924596972,75.8520570549352,7.590737808965489
A03,C4,Delta,69.83359782971175,40.79262027477667,-29.040977554935083
A03,C4,Gamma,77.05609310419894,82.33279272023881,5.276699616039875
A03,C4,Theta,38.541700949029746,38.46389636921335,-0.07780457981640036
A03,C5,Alpha_Mu,20.825368585466965,21.875420019440465,1.0500514339734994
A03,C5,Beta,66.87445768568787,73.37806216846619,6.503604482778323
A03,C5,Delta,70.61766518738494,42.626161041209585,-27.99150414617535
A03,C5,Gamma,74.01877234708275,77.73535130035478,3.716578953272029
A03,C5,Theta,38.79824716393807,34.27403816353718,-4.524209000400897
A03,C6,Alpha_Mu,41.042002706189095,45.851751898029086,4.809749191839988
A03,C6,Beta,67.73903527844134,73.69495252056986,5.955917242128513
A03,C6,Delta,71.99690706656195,45.083841911766626,-26.913065154795316
A03,C6,Gamma,69.33609964414164,72.75074690811594,3.414647263974297
A03,C6,Theta,44.0416051921961,44.032784779227796,-0.008820412968304985
A03,Cz,Alpha_Mu,30.266728382886313,42.748603877221484,12.481875494335165
A03,Cz,Beta,66.47855512087433,74.69298174377822,8.21442662290387
A03,Cz,Delta,65.60767251287577,35.95721657800513,-29.650455934870635
A03,Cz,Gamma,76.88934370067068,84.5034372894238,7.614093588753132
A03,Cz,Theta,34.07630393013499,32.353471906194656,-1.722832023940339
A04,C1,Alpha_Mu,33.06075869776639,35.84925572444898,2.7884970266825935
A04,C1,Beta,23.690090991654042,28.384348560436408,4.69425756878237
A04,C1,Delta,38.426634297675854,26.125588651587613,-12.301045646088241
A04,C1,Gamma,29.112938373016057,36.65135128336123,7.538412910345179
A04,C1,Theta,36.20210810809907,28.050841118157894,-8.151266989941176
A04,C2,Alpha_Mu,33.99487737672331,35.97267134291585,1.9777939661925446
A04,C2,Beta,25.248849823541995,29.90676727009188,4.657917446549885
A04,C2,Delta,39.121847878851774,26.79671985364199,-12.325128025209786
A04,C2,Gamma,29.29277166877837,37.408041966608636,8.115270297830264
A04,C2,Theta,37.612178409903855,30.98183601768244,-6.63034239222141
A04,C3,Alpha_Mu,28.404252469025298,30.794307601397136,2.39005513237184
A04,C3,Beta,20.360353143543445,24.189751755219064,3.8293986116756153
A04,C3,Delta,39.562934503274136,27.89794252155754,-11.664991981716602
A04,C3,Gamma,29.7375703187752,36.5154910973279,6.7779207785527085
A04,C3,Theta,35.96476388175167,27.871522244624536,-8.093241637127132
A04,C4,Alpha_Mu,31.621691709870245,32.55973552885699,0.9380438189867475
A04,C4,Beta,24.98508753410614,27.626237064623705,2.6411495305175636
A04,C4,Delta,41.37332409467402,29.735609819927745,-11.637714274746275
