Condition,EOG_Metric,Model,R2,RMSE
All_Clean,Central_Alpha_Mu_R2,Quadratic,0.005502419852838503,0.0315706176265593
All_Clean,Central_Beta_R2,Quadratic,0.12961390412436158,0.029535014282902047
All_Clean,Central_Gamma_R2,Quadratic,0.26882092714843475,0.02707030128177393
All_Clean,Central_Overall_EOG_R2,Quadratic,0.2573955257302276,0.027280981661889765
All_Clean,Central_Theta_R2,Quadratic,0.20142988979151832,0.028290312078616944
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Quadratic,0.1604550442049868,0.052142093557524034
Alpha_Mu_Clean,Central_Beta_R2,Log,0.4955976587242906,0.040416158599177854
Alpha_Mu_Clean,Central_Gamma_R2,Quadratic,0.6364907432669817,0.03431027694022774
Alpha_Mu_Clean,Central_Overall_EOG_R2,Log,0.47419822108972987,0.04126458785380767
Alpha_Mu_Clean,Central_Theta_R2,Quadratic,0.6251562492573621,0.03484108119533344
Beta_Clean,Central_Alpha_Mu_R2,Quadratic,0.08579623114117896,0.048376789084465174
Beta_Clean,Central_Beta_R2,Quadratic,0.1480155130802483,0.04670155909750964
Beta_Clean,Central_Gamma_R2,Quadratic,0.27082174928663616,0.04320483879654624
Beta_Clean,Central_Overall_EOG_R2,Quadratic,0.051728567814184,0.04926992139509751
Beta_Clean,Central_Theta_R2,Quadratic,0.03335671521900763,0.04974491063212394
Gamma_Clean,Central_Alpha_Mu_R2,Quadratic,0.048307047786942614,0.0447688162111786
Gamma_Clean,Central_Beta_R2,Quadratic,0.3581129713587601,0.036766855138109567
Gamma_Clean,Central_Gamma_R2,Quadratic,0.5749668220207348,0.02991841626557251
Gamma_Clean,Central_Overall_EOG_R2,Quadratic,0.42574241181556816,0.03477607433875276
Gamma_Clean,Central_Theta_R2,Quadratic,0.10519513328617647,0.04341015664443206
Theta_Clean,Central_Alpha_Mu_R2,Quadratic,0.19384083062894109,0.028669788605015855
Theta_Clean,Central_Beta_R2,Quadratic,0.5269810468939538,0.021961063260233896
Theta_Clean,Central_Gamma_R2,Quadratic,0.5079037525890502,0.0223995409592837
Theta_Clean,Central_Overall_EOG_R2,Quadratic,0.4496158812251936,0.02368901694741502
Theta_Clean,Central_Theta_R2,Quadratic,0.07263229562972007,0.030749642815454368
