Condition,EOG_Metric,Model,R2,RMSE
All_Clean,Central_Theta_R2,Linear,0.035918396031369815,0.031084086645062108
All_Clean,Central_Theta_R2,Quadratic,0.20142988979151832,0.028290312078616944
All_Clean,Central_Theta_R2,Log,0.05485464411998242,0.030777299815613366
All_Clean,Central_Alpha_Mu_R2,Linear,0.003858401647402032,0.031596701771267235
All_Clean,Central_Alpha_Mu_R2,Quadratic,0.005502419852838503,0.0315706176265593
All_Clean,Central_Alpha_Mu_R2,Log,0.004523597815697777,0.031586150301994034
All_Clean,Central_Beta_R2,Linear,0.04203633975164933,0.03098530177406468
All_Clean,Central_Beta_R2,Quadratic,0.12961390412436158,0.029535014282902047
All_Clean,Central_Beta_R2,Log,0.05606497237092467,0.0307575872029394
All_Clean,Central_Gamma_R2,Linear,0.11001727883101675,0.029865652003204193
All_Clean,Central_Gamma_R2,Quadratic,0.26882092714843475,0.02707030128177393
All_Clean,Central_Gamma_R2,Log,0.15097383241944906,0.02917035743479046
All_Clean,Central_Overall_EOG_R2,Linear,0.045208310651728034,0.030933960594059888
All_Clean,Central_Overall_EOG_R2,Quadratic,0.2573955257302276,0.027280981661889765
All_Clean,Central_Overall_EOG_R2,Log,0.07213830452266534,0.030494592624179473
Theta_Clean,Central_Theta_R2,Linear,0.0572673243258478,0.031003332058606253
Theta_Clean,Central_Theta_R2,Quadratic,0.07263229562972007,0.030749642815454368
Theta_Clean,Central_Theta_R2,Log,0.06555096431170038,0.030866820882101038
Theta_Clean,Central_Alpha_Mu_R2,Linear,3.581591134849127e-05,0.031930543745716744
Theta_Clean,Central_Alpha_Mu_R2,Quadratic,0.19384083062894109,0.028669788605015855
Theta_Clean,Central_Alpha_Mu_R2,Log,0.0033462852338494997,0.031877645492551954
Theta_Clean,Central_Beta_R2,Linear,0.1367807523247444,0.029667069527309162
Theta_Clean,Central_Beta_R2,Quadratic,0.5269810468939538,0.021961063260233896
Theta_Clean,Central_Beta_R2,Log,0.21500782269874663,0.02829089951223414
Theta_Clean,Central_Gamma_R2,Linear,0.18037061441651747,0.02890831989469189
Theta_Clean,Central_Gamma_R2,Quadratic,0.5079037525890502,0.0223995409592837
Theta_Clean,Central_Gamma_R2,Log,0.3101795736161068,0.02652052497935812
Theta_Clean,Central_Overall_EOG_R2,Linear,0.08653925605126955,0.030518208500663408
Theta_Clean,Central_Overall_EOG_R2,Quadratic,0.4496158812251936,0.02368901694741502
Theta_Clean,Central_Overall_EOG_R2,Log,0.13614609428552815,0.02967797346899306
Alpha_Mu_Clean,Central_Theta_R2,Linear,0.028438300856586163,0.05609209735052489
Alpha_Mu_Clean,Central_Theta_R2,Quadratic,0.6251562492573621,0.03484108119533344
Alpha_Mu_Clean,Central_Theta_R2,Log,0.008192018291021452,0.05667353281115438
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Linear,0.08145686561824717,0.05454014195023811
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Quadratic,0.1604550442049868,0.052142093557524034
Alpha_Mu_Clean,Central_Alpha_Mu_R2,Log,0.055539828050615414,0.05530422495618155
Alpha_Mu_Clean,Central_Beta_R2,Linear,0.4692329589400761,0.041458965346132866
Alpha_Mu_Clean,Central_Beta_R2,Quadratic,0.480111328541851,0.04103190336981777
Alpha_Mu_Clean,Central_Beta_R2,Log,0.4955976587242906,0.040416158599177854
Alpha_Mu_Clean,Central_Gamma_R2,Linear,0.6256482659882869,0.03481820763298506
Alpha_Mu_Clean,Central_Gamma_R2,Quadratic,0.6364907432669817,0.03431027694022774
Alpha_Mu_Clean,Central_Gamma_R2,Log,0.5626767366883838,0.037632907787490795
Alpha_Mu_Clean,Central_Overall_EOG_R2,Linear,0.46473597313399206,0.04163422786149211
Alpha_Mu_Clean,Central_Overall_EOG_R2,Quadratic,0.46806540914981565,0.04150453978082451
Alpha_Mu_Clean,Central_Overall_EOG_R2,Log,0.47419822108972987,0.04126458785380767
Beta_Clean,Central_Theta_R2,Linear,0.014049285813999002,0.050239249008155594
Beta_Clean,Central_Theta_R2,Quadratic,0.03335671521900763,0.04974491063212394
Beta_Clean,Central_Theta_R2,Log,0.010119040078796715,0.050339282513228646
Beta_Clean,Central_Alpha_Mu_R2,Linear,0.004968054665269506,0.05047008635390245
Beta_Clean,Central_Alpha_Mu_R2,Quadratic,0.08579623114117896,0.048376789084465174
Beta_Clean,Central_Alpha_Mu_R2,Log,0.010715875604175196,0.05032410452546715
Beta_Clean,Central_Beta_R2,Linear,3.386080969158822e-05,0.05059506788384426
Beta_Clean,Central_Beta_R2,Quadratic,0.1480155130802483,0.04670155909750964
Beta_Clean,Central_Beta_R2,Log,0.00559802958064648,0.050454107006395105
Beta_Clean,Central_Gamma_R2,Linear,0.036061978834622255,0.04967525340411036
Beta_Clean,Central_Gamma_R2,Quadratic,0.27082174928663616,0.04320483879654624
Beta_Clean,Central_Gamma_R2,Log,0.11960623812228233,0.047473802003891515
Beta_Clean,Central_Overall_EOG_R2,Linear,0.006651173961709667,0.050427382634905954
Beta_Clean,Central_Overall_EOG_R2,Quadratic,0.051728567814184,0.04926992139509751
Beta_Clean,Central_Overall_EOG_R2,Log,0.01432308783841263,0.05023227271460791
Gamma_Clean,Central_Theta_R2,Linear,0.10040152977397743,0.04352627868250928
Gamma_Clean,Central_Theta_R2,Quadratic,0.10519513328617647,0.04341015664443206
Gamma_Clean,Central_Theta_R2,Log,0.09280219674111623,0.04370973557425066
Gamma_Clean,Central_Alpha_Mu_R2,Linear,0.029711244481533505,0.04520408506049813
Gamma_Clean,Central_Alpha_Mu_R2,Quadratic,0.048307047786942614,0.0447688162111786
Gamma_Clean,Central_Alpha_Mu_R2,Log,0.03521986619838724,0.0450755838079545
Gamma_Clean,Central_Beta_R2,Linear,0.10315425666481515,0.043459633529150735
Gamma_Clean,Central_Beta_R2,Quadratic,0.3581129713587601,0.036766855138109567
Gamma_Clean,Central_Beta_R2,Log,0.15805975722348342,0.04210831066281739
Gamma_Clean,Central_Gamma_R2,Linear,0.16943692863656135,0.04182283735559798
Gamma_Clean,Central_Gamma_R2,Quadratic,0.5749668220207348,0.02991841626557251
Gamma_Clean,Central_Gamma_R2,Log,0.3213728550785909,0.03780443901550815
Gamma_Clean,Central_Overall_EOG_R2,Linear,0.14069257264900448,0.04254038999418316
Gamma_Clean,Central_Overall_EOG_R2,Quadratic,0.42574241181556816,0.03477607433875276
Gamma_Clean,Central_Overall_EOG_R2,Log,0.1949101247085454,0.04117649411309758
