Subject,Model,Accuracy,Macro_F1
A01,RNN,0.26334519572953735,0.26040648540648537
A02,RNN,0.17667844522968199,0.17695337562046543
A03,RNN,0.26373626373626374,0.26297728546511695
A04,RNN,0.21929824561403508,0.20600821844733955
A05,RNN,0.21014492753623187,0.20067160377135004
A06,RNN,0.23255813953488372,0.22785698089677456
A07,RNN,0.24548736462093862,0.24203332803071742
A08,RNN,0.2730627306273063,0.24200758673375306
A09,RNN,0.2727272727272727,0.27516094801875257
A01,GRU,0.4199288256227758,0.41942425178339426
A02,GRU,0.22968197879858657,0.2098049713869382
A03,GRU,0.21245421245421245,0.2094127202782955
A04,GRU,0.2719298245614035,0.2638412079447886
A05,GRU,0.29347826086956524,0.2642614540450242
A06,GRU,0.2744186046511628,0.25838007537464797
A07,GRU,0.2563176895306859,0.2537495340789069
A08,GRU,0.3247232472324723,0.3222131681877445
A09,GRU,0.3409090909090909,0.3344550373052926
A01,LSTM,0.4092526690391459,0.4026046133730727
A02,LSTM,0.2508833922261484,0.243236318917811
A03,LSTM,0.34798534798534797,0.34290771786861873
A04,LSTM,0.2543859649122807,0.2459817403470561
A05,LSTM,0.27898550724637683,0.25747279036752724
A06,LSTM,0.2837209302325581,0.21400142253968735
A07,LSTM,0.23826714801444043,0.23253085157555703
A08,LSTM,0.2915129151291513,0.28771786043554837
A09,LSTM,0.3977272727272727,0.3903060302675128
A01,EEGNet,0.5693950177935944,0.5392257670075589
A02,EEGNet,0.36042402826855124,0.35330543485417076
A03,EEGNet,0.684981684981685,0.6703259514026149
A04,EEGNet,0.5307017543859649,0.5301410253485352
A05,EEGNet,0.37318840579710144,0.36359587694727014
A06,EEGNet,0.3488372093023256,0.34226033137516393
A07,EEGNet,0.44404332129963897,0.4447866139523507
A08,EEGNet,0.6752767527675276,0.6558733003270256
A09,EEGNet,0.7310606060606061,0.7292885862256433
