Channel,Window_Center_s,Delta_Beta_Percent
C3,0.25,-31.754007285095536
C3,0.35,-34.937619128170844
C3,0.44999999999999996,-36.51770626042531
C3,0.55,-35.48679611988155
C3,0.65,-35.22717674461484
C3,0.75,-35.58839610057824
C3,0.8500000000000001,-35.83376933628076
C3,0.9500000000000002,-35.38766142116422
C3,1.05,-35.10772491336274
C3,1.15,-35.585699889355425
C3,1.25,-35.71582528261768
C3,1.35,-35.42416650329933
C3,1.4500000000000002,-35.46706436380257
C3,1.55,-35.84187135175054
C3,1.6500000000000001,-36.15792462065027
C3,1.75,-35.91171977066575
C3,1.85,-35.972944131448855
C3,1.9500000000000002,-35.9950906297638
C3,2.05,-35.47343812631468
C3,2.1500000000000004,-34.00877055164056
C3,2.25,-33.428173828854405
C3,2.35,-35.805006532639815
C3,2.45,-37.30463101019146
C3,2.5500000000000003,-37.6512525796422
C3,2.6500000000000004,-38.12724705851509
C3,2.75,-37.92219566546929
C3,2.85,-37.229259915836096
C3,2.95,-36.87337909899615
C3,3.0500000000000003,-37.40567830690768
C3,3.1500000000000004,-37.60696873889443
C3,3.25,-37.91619992404527
C3,3.35,-37.816460120391845
C3,3.45,-37.539764751475055
C3,3.5500000000000003,-37.02453383713089
C3,3.6500000000000004,-38.18085865171217
C3,3.75,-39.01854910816243
C4,0.25,-36.4297367578253
C4,0.35,-40.05519267736715
C4,0.44999999999999996,-41.65219321811006
C4,0.55,-41.0585409835646
C4,0.65,-41.46884003439243
C4,0.75,-41.81067135272528
C4,0.8500000000000001,-42.04934399687904
C4,0.9500000000000002,-41.66661315940804
C4,1.05,-40.99515003222062
C4,1.15,-41.45590012507604
C4,1.25,-41.58358560830635
C4,1.35,-40.91562122091697
C4,1.4500000000000002,-41.153183637740696
C4,1.55,-41.66030047595818
C4,1.6500000000000001,-42.03952227612824
C4,1.75,-42.19667832059221
C4,1.85,-42.21538959146798
C4,1.9500000000000002,-41.79286497365863
C4,2.05,-41.46941552789544
C4,2.1500000000000004,-39.863073488745975
C4,2.25,-38.781791452205844
C4,2.35,-41.12614683620309
C4,2.45,-43.21173852840622
C4,2.5500000000000003,-43.55404744519943
C4,2.6500000000000004,-43.03391268439151
C4,2.75,-42.66489836583053
C4,2.85,-42.827485880120506
C4,2.95,-42.83261803376603
C4,3.0500000000000003,-43.35858801005222
C4,3.1500000000000004,-43.48433388700809
C4,3.25,-43.38769974364686
C4,3.35,-43.069681506685654
C4,3.45,-42.94772353674523
C4,3.5500000000000003,-42.311136216368695
C4,3.6500000000000004,-44.16582294949367
C4,3.75,-44.823732865854396
Cz,0.25,-33.347955157455985
Cz,0.35,-38.61601792062675
Cz,0.44999999999999996,-41.39062734596372
Cz,0.55,-40.146285186335504
Cz,0.65,-39.85126916764251
Cz,0.75,-40.12868900442656
Cz,0.8500000000000001,-40.49113130279076
Cz,0.9500000000000002,-40.39651562996582
Cz,1.05,-39.920897496209875
Cz,1.15,-40.17485519553862
Cz,1.25,-40.40049680480825
Cz,1.35,-40.130737102474534
Cz,1.4500000000000002,-40.38637410163147
Cz,1.55,-40.98574061491226
Cz,1.6500000000000001,-41.463573191717444
Cz,1.75,-41.513531282523914
Cz,1.85,-41.81082599514326
Cz,1.9500000000000002,-41.78123953549209
Cz,2.05,-40.99808016656992
Cz,2.1500000000000004,-38.72562143942841
Cz,2.25,-37.169614223513406
Cz,2.35,-40.04498046571652
Cz,2.45,-42.75402088530031
Cz,2.5500000000000003,-43.134618749377836
Cz,2.6500000000000004,-42.812847005700476
Cz,2.75,-42.45709840769247
Cz,2.85,-41.986760586125726
Cz,2.95,-41.639621059511
Cz,3.0500000000000003,-42.139337323551345
Cz,3.1500000000000004,-42.228616891718836
Cz,3.25,-42.486009991378964
Cz,3.35,-42.50189207113232
Cz,3.45,-42.31328612899444
Cz,3.5500000000000003,-41.81876725492965
Cz,3.6500000000000004,-43.59433541780552
Cz,3.75,-44.50393554475449
