Subject,Trial,Class,Channel,Band,Baseline_R2,MI_R2,Change_R2
A01,1,4,C5,Delta,62.9337075176909,13.958768228656137,-48.97493928903476
A01,1,4,C5,Theta,48.929111971594416,11.938332196502099,-36.99077977509232
A01,1,4,C5,Alpha_Mu,14.464546873563389,15.588075791896438,1.12352891833305
A01,1,4,C5,Beta,18.34219096927684,17.691316466650843,-0.6508745026259977
A01,1,4,C5,Gamma,28.394041241810452,25.010796143045223,-3.3832450987652307
A01,1,4,C3,Delta,64.43519111044861,21.15004830045152,-43.285142809997105
A01,1,4,C3,Theta,28.505527682566235,8.026968427371228,-20.478559255195005
A01,1,4,C3,Alpha_Mu,13.44824517471852,23.538433475417197,10.090188300698678
A01,1,4,C3,Beta,8.32923547333383,20.62821773990351,12.29898226656968
A01,1,4,C3,Gamma,30.711718257146803,26.643612730621193,-4.068105526525612
A01,1,4,C1,Delta,56.87480203238514,26.436284509605322,-30.43851752277982
A01,1,4,C1,Theta,18.851729069551727,4.5574684480635845,-14.294260621488142
A01,1,4,C1,Alpha_Mu,6.501931386230542,43.96615911304688,37.46422772681633
A01,1,4,C1,Beta,9.386483131509028,30.364314914084357,20.97783178257533
A01,1,4,C1,Gamma,30.862589811293915,31.060515594270054,0.19792578297613828
A01,1,4,Cz,Delta,53.47214958335762,30.63961726620289,-22.83253231715473
A01,1,4,Cz,Theta,9.466989898987999,8.38085267374904,-1.086137225238959
A01,1,4,Cz,Alpha_Mu,4.452131945371097,44.862257751153244,40.41012580578215
A01,1,4,Cz,Beta,7.845641937217495,36.203882890358344,28.358240953140847
A01,1,4,Cz,Gamma,33.65264126943844,29.327158421535948,-4.325482847902496
A01,1,4,C2,Delta,62.986734839261025,28.159467797379488,-34.82726704188154
A01,1,4,C2,Theta,11.358263690761927,6.924399509060031,-4.433864181701896
A01,1,4,C2,Alpha_Mu,14.48566848648153,57.883688254779806,43.398019768298276
A01,1,4,C2,Beta,13.994238601201081,34.78528320300889,20.791044601807805
A01,1,4,C2,Gamma,33.05880095201075,30.107938910752274,-2.950862041258473
A01,1,4,C4,Delta,68.95100240948537,22.580413274141776,-46.3705891353436
A01,1,4,C4,Theta,9.563684240473325,14.164851379787125,4.6011671393138
A01,1,4,C4,Alpha_Mu,18.44060684639238,61.4377062919624,42.99709944557002
A01,1,4,C4,Beta,13.498970953931877,27.013640669415086,13.514669715483208
A01,1,4,C4,Gamma,30.336966689356938,22.065142492410562,-8.271824196946376
A01,1,4,C6,Delta,74.35434397302181,18.852366622531434,-55.501977350490385
A01,1,4,C6,Theta,19.165332099081112,39.822982481950056,20.65765038286894
A01,1,4,C6,Alpha_Mu,32.6952759030034,68.86934276987769,36.17406686687429
A01,1,4,C6,Beta,20.34965725290632,39.832396042650466,19.482738789744147
A01,1,4,C6,Gamma,43.14592455637241,12.584359945056356,-30.56156461131605
A01,2,3,C5,Delta,72.68473912180231,54.13758711346161,-18.547152008340696
A01,2,3,C5,Theta,30.484963006522058,4.618702540074815,-25.866260466447244
A01,2,3,C5,Alpha_Mu,16.912251819394484,42.292849708415325,25.38059788902084
A01,2,3,C5,Beta,16.229170145759962,10.741600621566306,-5.487569524193658
A01,2,3,C5,Gamma,16.682941612582624,12.788342976970624,-3.894598635612001
A01,2,3,C3,Delta,67.92942778573764,48.158567430800915,-19.770860354936726
A01,2,3,C3,Theta,33.03607757289129,11.025706262451019,-22.01037131044027
A01,2,3,C3,Alpha_Mu,36.37981296723358,43.164647904573506,6.784834937339923
A01,2,3,C3,Beta,24.316108785603095,13.092218037055414,-11.223890748547682
A01,2,3,C3,Gamma,15.332673290557786,22.459458049692348,7.126784759134564
A01,2,3,C1,Delta,50.40738852169304,44.799403518027944,-5.607985003665094
A01,2,3,C1,Theta,27.605537494599332,13.53289333010741,-14.072644164491921
A01,2,3,C1,Alpha_Mu,43.74796743298558,52.585045600858685,8.837078167873102
A01,2,3,C1,Beta,25.049885063318953,13.30524079861587,-11.744644264703085
A01,2,3,C1,Gamma,16.25077711488776,22.819050282723275,6.568273167835514
A01,2,3,Cz,Delta,46.35461554846114,41.93971371556321,-4.414901832897932
A01,2,3,Cz,Theta,24.41203375260379,11.1818716395234,-13.23016211308039
A01,2,3,Cz,Alpha_Mu,46.21565278566937,59.044522447369644,12.82886966170027
A01,2,3,Cz,Beta,22.626129072919397,21.55554202364991,-1.070587049269489
A01,2,3,Cz,Gamma,12.931326583952895,26.03659223861713,13.105265654664233
A01,2,3,C2,Delta,57.49497397959695,30.897142103964793,-26.59783187563216
A01,2,3,C2,Theta,29.38282325757947,14.8315855673107,-14.55123769026877
A01,2,3,C2,Alpha_Mu,50.68042822254715,55.84837599007598,5.167947767528835
A01,2,3,C2,Beta,13.659302732198253,19.46578552248489,5.806482790286638
A01,2,3,C2,Gamma,14.99522645771707,24.32329613174662,9.32806967402955
A01,2,3,C4,Delta,65.26744067714202,25.229252247976262,-40.03818842916576
A01,2,3,C4,Theta,34.65035214802468,12.57531571151629,-22.075036436508388
A01,2,3,C4,Alpha_Mu,45.00610432934514,40.31882045366763,-4.687283875677517
A01,2,3,C4,Beta,5.1072430958722155,20.54016955801262,15.432926462140406
A01,2,3,C4,Gamma,16.50393307755571,27.730821462326848,11.226888384771138
A01,2,3,C6,Delta,64.65871039751441,38.419776810349134,-26.23893358716528
A01,2,3,C6,Theta,44.122658541186766,17.20622499347415,-26.916433547712614
A01,2,3,C6,Alpha_Mu,33.19848890379964,36.476634435413594,3.278145531613952
A01,2,3,C6,Beta,5.592145928484604,21.252125574254286,15.659979645769685
A01,2,3,C6,Gamma,20.56678071606418,33.77736799271693,13.210587276652753
A01,3,2,C5,Delta,32.206170505347046,16.89097933945538,-15.315191165891662
A01,3,2,C5,Theta,55.61576083269879,25.26446546899882,-30.351295363699972
A01,3,2,C5,Alpha_Mu,44.6783479167188,13.20655922756606,-31.471788689152735
A01,3,2,C5,Beta,5.858267972307396,27.7110814288682,21.852813456560803
A01,3,2,C5,Gamma,15.525569150305419,26.741586141220374,11.216016990914957
A01,3,2,C3,Delta,33.60925214390945,22.00617755501214,-11.60307458889731
A01,3,2,C3,Theta,39.82452276238623,21.160263021033863,-18.664259741352364
A01,3,2,C3,Alpha_Mu,54.85510515178338,17.16160674355338,-37.69349840823
A01,3,2,C3,Beta,8.538853199254282,30.011701636935783,21.472848437681503
A01,3,2,C3,Gamma,13.149506188077996,25.55767404316953,12.408167855091534
A01,3,2,C1,Delta,28.701776572375216,21.43501810299979,-7.266758469375423
A01,3,2,C1,Theta,22.31895774077788,24.72360215010522,2.404644409327339
A01,3,2,C1,Alpha_Mu,51.562630262410224,18.138872184683464,-33.42375807772676
A01,3,2,C1,Beta,9.206039933293242,32.58599741747089,23.37995748417765
A01,3,2,C1,Gamma,10.696268196371705,15.466596704093094,4.770328507721389
A01,3,2,Cz,Delta,32.439271406793665,26.29948482153336,-6.1397865852603095
A01,3,2,Cz,Theta,22.059741917374442,23.194834813761556,1.1350928963871132
A01,3,2,Cz,Alpha_Mu,32.00420168835419,22.45740709449543,-9.546794593858765
A01,3,2,Cz,Beta,9.883587700289365,30.739490797668733,20.855903097379368
A01,3,2,Cz,Gamma,6.33786324184229,15.973094148264522,9.635230906422231
A01,3,2,C2,Delta,20.919921386827834,33.2635165062777,12.34359511944987
A01,3,2,C2,Theta,29.346949392974032,17.673090603463017,-11.673858789511016
A01,3,2,C2,Alpha_Mu,15.150869908269959,23.924663189167717,8.773793280897756
A01,3,2,C2,Beta,8.072842628723542,30.65175348283109,22.578910854107548
A01,3,2,C2,Gamma,4.300107149621124,13.764285725586722,9.464178575965597
A01,3,2,C4,Delta,13.700683602654273,35.86317641421216,22.16249281155789
A01,3,2,C4,Theta,44.15424552779894,11.149887351591959,-33.004358176206985
A01,3,2,C4,Alpha_Mu,6.06686853413626,29.79908967813524,23.732221143998977
