Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A01,0,0.0,0.5,0.20175249773503295,0.15495132359610905,0.22988120645670118,0.2606218019547157,0.28583792463463825
A01,1,0.248,0.748,0.20640885564617137,0.13848321316153103,0.24099089412085598,0.2682305400759436,0.29011401675625026
A01,2,0.496,0.996,0.23013187527587123,0.15453279856357108,0.2917229231831836,0.2836986699572331,0.2981565880827482
A01,3,0.744,1.244,0.22920023195116215,0.17032653198893885,0.29033809054763476,0.28169628318080303,0.3353659105076094
A01,4,0.992,1.492,0.22773634670567397,0.15996065721010708,0.2767231253402987,0.27403408910026683,0.34035529057752734
A01,5,1.24,1.74,0.23394624868498498,0.15743998854264718,0.28474735391181266,0.2862373670693769,0.3313744320808946
A01,6,1.488,1.988,0.2346449434728704,0.15591911365289735,0.2992922939725267,0.2875277363100524,0.3426465656281789
A01,7,1.736,2.236,0.21264161994348352,0.15283260594847292,0.25051893166345657,0.2653781211144106,0.3366322972479368
A01,8,1.984,2.484,0.2129657359711333,0.14793188357580386,0.25283741849985564,0.27333718144703306,0.3315789407402693
A01,9,2.232,2.732,0.22551444540314508,0.13815915611902688,0.27704916556885995,0.29696985122803005,0.34799819395991594
A01,10,2.48,2.98,0.24315967969848207,0.14459604205636012,0.28028637059235534,0.31095633087603036,0.3616044864352233
A01,11,2.728,3.228,0.25310634065866955,0.151536591023331,0.29654495726916735,0.30410370029796957,0.3658328008395592
A01,12,2.976,3.476,0.25005742300801925,0.1443811054867235,0.2929532248478018,0.312789558019351,0.3742807332491324
A01,13,3.224,3.724,0.24988909166372936,0.13603586197432896,0.29317101481830293,0.32054679322471846,0.3804975017861375
A01,14,3.472,3.972,0.2560916385966735,0.1506135418998813,0.2882283570343795,0.32380419499661245,0.3780848796802959
A02,0,0.0,0.5,0.6043659316857296,0.3785212291185252,0.538374944873675,0.6382898530136285,0.6839389691211627
A02,1,0.248,0.748,0.5491663169226422,0.24689623609848838,0.46364292091085796,0.6253031221283263,0.6804780300119738
A02,2,0.496,0.996,0.5867071525151255,0.21544254401214713,0.5406892573897328,0.6267071097962209,0.6755112353613831
