Subject,Run,Trial,Onset,True_Class,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A01,3,1,251,1,0,0.0,0.5,0.33465907805451495,0.29046580532672917,0.24227618092886377,0.20340583841873053,0.0
A01,3,1,251,1,1,0.248,0.748,0.2126076858743218,0.2539742968170913,0.07037747622804134,0.16791182917020095,0.10726019665557654
A01,3,1,251,1,2,0.496,0.996,0.059595649294269366,0.24060452068107788,0.07285694860888023,0.1261555032847556,0.43042481768858815
A01,3,1,251,1,3,0.744,1.244,0.06568012697530441,0.24267513642544689,0.09901835706407926,0.12029764781701303,0.518721150464342
A01,3,1,251,1,4,0.992,1.492,0.3067938044624054,0.653013017160908,0.1075918884089447,0.241411574862596,0.48554636874970203
A01,3,1,251,1,5,1.24,1.74,0.36110791109405177,0.6467336186928894,0.06471027414214094,0.2247077530878822,0.3072524248716097
A01,3,1,251,1,6,1.488,1.988,0.20344414253620507,0.43329311072962284,0.24993567879042938,0.15364930310330127,0.27824096479405036
A01,3,1,251,1,7,1.736,2.236,0.13721893657493234,0.06805554172270388,0.2454473191151049,0.23747762600610617,0.24187185178924756
A01,3,1,251,1,8,1.984,2.484,0.17066404515515757,0.20540671493583093,0.44291773368663545,0.07166238972947851,0.06817040437816776
A01,3,1,251,1,9,2.232,2.732,0.19973111087320006,0.28486983156854767,0.5835171228930112,0.048649411156484294,0.013315244358806409
A01,3,1,251,1,10,2.48,2.98,0.30634892723048596,0.29707949374148906,0.6186715494245926,0.1847119174675212,0.15643483832775099
A01,3,1,251,1,11,2.728,3.228,0.32166939580071097,0.21483824669798032,0.7148379053440254,0.20857948298428244,0.3238064833788298
A01,3,1,251,1,12,2.976,3.476,0.2160839527861602,0.30263979022027776,0.5901470953129498,0.05594313169354275,0.28994128261088487
A01,3,1,251,1,13,3.224,3.724,0.2057021283644205,0.33088185509549906,0.3589644002441728,0.0,0.17061844309969007
A01,3,1,251,1,14,3.472,3.972,0.22030044306586566,0.35501377048784455,0.09430818760411087,0.0,0.013516109255441286
A01,3,2,2254,2,0,0.0,0.5,0.3414336268010579,0.3891159732852246,0.17269979412310907,0.23333208900625205,0.0
A01,3,2,2254,2,1,0.248,0.748,0.04405370542674363,0.05700321254379713,0.29813252303154847,0.10161217026955675,0.33632307096156344
A01,3,2,2254,2,2,0.496,0.996,0.01822682281499601,0.002114247424250323,0.3313148182185621,0.04886358803289313,0.7070041194787147
A01,3,2,2254,2,3,0.744,1.244,0.11436805378719549,0.0037204024497773697,0.24638825994631772,0.32630239153178797,0.14690295761033692
A01,3,2,2254,2,4,0.992,1.492,0.16761957803725322,0.19187371358070918,0.282544050520456,0.29230409235498894,0.13422026016967706
A01,3,2,2254,2,5,1.24,1.74,0.18529570465481143,0.17796101888227217,0.3150262089362708,0.24380882334795054,0.14120022356910103
A01,3,2,2254,2,6,1.488,1.988,0.3327756462930681,0.3661148354511557,0.5036424542588647,0.1982237635840049,0.39532252814053065
A01,3,2,2254,2,7,1.736,2.236,0.29909363109023046,0.30900535738025753,0.19358998585911,0.18196342198856355,0.46974565586418354
A01,3,2,2254,2,8,1.984,2.484,0.27225197620347896,0.03599762822813102,0.6028605026654247,0.2827305554407602,0.28115515745684067
A01,3,2,2254,2,9,2.232,2.732,0.1925409753379117,0.0,0.7392843277353133,0.22512533715160027,0.2989606959406791
A01,3,2,2254,2,10,2.48,2.98,0.09085411352439796,0.0107505334114618,0.3981121869031142,0.04906653848087202,0.21855652259365924
A01,3,2,2254,2,11,2.728,3.228,0.14281240162340658,0.14423947081701222,0.2754858034148702,0.008546238894271958,0.0003462809645597658
